start	end	text
1000	1500	Yup.
22000	24000	Alright, um,
24000	28000	Man's legs outstretched, um, triangle arms right.
TRIAL2	40000	Ice skating one.
54000	56000	Um, two small triangle head.
69000	78000	Um, mountain-like thing, um, curving down to the right. Also two small triangles on head.
79000	80000	And square head.
85000	87000	They switched it up a bit. Interesting.
87000	88000	Yeah.
94000	95000	Robot.
107000	109000	Um, throwing arms up.
114000	122000	Um, kid on horse.
135000	137000	Ostrich.
144000	152000	Legless horse.
164000	166000	Um, he called it a cactus before.
174000	182000	Um, two-headed with the legs on the left.
182000	209000	Um, kind of like someone in like a dress with some, like with a shape, like with a triangle going right, and like, um, another like shape going to the left midway through in an upside down triangle like on the right.
212000	228000	Um, person facing left holding like upside down top out.
228000	248000	Um, the one that's like a sideways C with a triangle on the side.
259000	262000	Um, axe pointed right.
276000	282000	Um, almost like someone trying to lift something pointed left small triangle head.
283000	288000	Um, just one small triangle head.
288000	290000	Yeah, on the top.
300000	302000	Three-petal flower.
313000	318000	Um, another like kid on a horse kind of.
319000	321000	Or dog.
329000	336000	Um, kind of like column with tree stump with diamond on the right side.
337000	339000	Sorry.
339000	343000	It's kind of, or like you called it like a toilet with a diamond.
343000	367000	Um, like person sitting, um, with like the, like with the diamond head kind of turned up-ish with like legs on the left side.
367000	370000	Like sitting on the ground.
370000	371000	Okay.
383000	385000	House with the arrow.
400000	402000	Two-petal flower.
415000	418000	House with chimney on the right.
418000	432000	Dancing person, big left leg.
432000	451000	Um, kind of like horse with something on it.
451000	456000	Uh, a horse.
456000	458000	Yeah, like yeah.
462000	472000	Um, basic, like really basic body with diamond head.
472000	474000	Oh, like the big really coming off of it.
474000	477000	Um, beside, yeah.
483000	486000	Like upside down Christmas tree.
492000	494000	Ladle.
494000	496000	Ladle.
500000	502000	Ladle.
502000	518000	Person with diamond outstretched arms kneeling.
518000	521000	Or triangle outstretched arms, sorry.
533000	542000	Um, like diamond head rectangular body with like a dragon cut out on the right.
542000	544000	Just like, yeah.
544000	560000	Um, like diamond head triangle side, like on the right.
560000	566000	Um, and then like weird shape on the left with like a almost detached triangle downwards.
566000	569000	Oh, can you describe it again?
569000	575000	Like, yeah, like on the right side it's a diamond with like a sideways triangle.
575000	582000	On the left it's like a weird shape with an upside down triangle kind of balanced on the side.
582000	585000	Okay.
585000	592000	Um, I'm still not sure.
593000	596000	I'm still not sure.
596000	598000	So it has a diamond head.
598000	605000	Yeah, and then on the right side alongside, like balanced on top of it, like sideways triangle.
605000	612000	And then on the left it has almost like an upside down triangle tail kind of thing.
612000	615000	This one? Oh, okay, got it.
623000	626000	Um, this is the one that you just chose.
640000	645000	Um, symmetrical legs walking left.
652000	665000	Um, kind of like two triangle, like separate triangle arms pointed left.
665000	669000	One foot and then almost like a triangle tail.
669000	671000	Um, yeah.
671000	683000	Um, horse.
683000	702000	And like kind of like a boat or something with a diamond balanced on top.
713000	734000	Um, yeah.
