start	end	text
52000	61000	So, there's like a square on the top and then two tilted squares overlapping on the bottom.
61000	65000	It's like, imagine a person with their hands.
TRIAL2	80000	Right, so the next one.
80000	88000	This one is like, it's sort of like a person trying to walk backwards.
88000	89000	Okay.
89000	91000	Backwards to the left.
91000	92000	Okay.
92000	96000	His left leg is, to the left is the right one.
96000	100000	And...
100000	102000	Okay.
102000	106000	And like with a triangle arm, kind of?
106000	110000	Yes, like a triangle arm and a sort of square head-ish.
110000	115000	Okay, I think I got it.
115000	117000	Oh.
117000	126000	Shit.
126000	130000	Okay.
130000	135000	This one, it's like, it's sort of like a wizard holding a cup.
135000	138000	The cup is a triangle.
138000	140000	Okay.
140000	142000	Let's see it there.
142000	145000	It's...
145000	149000	Do you have any idea of any possible options?
149000	157000	Yeah, I think so. Is it kind of like a almost upside down top hat kind of cup?
157000	160000	Um...
160000	162000	I wouldn't really say so.
162000	163000	Okay.
163000	166000	If you look at the lower right of this particular picture.
166000	167000	Okay.
167000	170000	It's like, it's missing.
170000	173000	Okay.
173000	174000	It's just...
174000	177000	Um, is it like...
177000	184000	Is it like kneeling kind of like facing right?
184000	190000	Like from my perspective, it's holding the cup in its left hand.
190000	192000	So I guess for, yeah.
192000	196000	Okay.
196000	198000	Uh, what else?
198000	201000	Um...
201000	205000	How are you telling with like left hand?
205000	208000	Because like that's not something I can really make out.
208000	209000	Yeah, true.
209000	212000	Um...
212000	214000	I don't even know how to describe this.
214000	218000	Um...
218000	220000	Is the head like a, like...
220000	222000	So the head is like a diamond?
222000	224000	Yeah, it's a diamond, but there's a lot of diamond heads.
224000	226000	Okay, yeah.
226000	230000	And is it like kind of looking like standing or seated or kneeling or something?
230000	233000	It's sort of standing. It's like facing you.
233000	234000	Okay.
234000	238000	Not from sideways.
238000	243000	Does it have any like limb-like looking things?
243000	246000	Um...
246000	251000	Just it's, just one arm holding the cup, sort of the thing that looks like a cup, but...
251000	252000	Okay.
252000	257000	Yeah.
257000	260000	Um...
260000	262000	What shape is the cup?
262000	265000	It's a upside down triangle.
265000	267000	Okay.
267000	268000	And it's...
268000	269000	Um...
269000	273000	Like only one tip is connected to the rest of the figure.
273000	275000	Only like one tip?
275000	277000	Yeah, one point of the triangle.
277000	279000	Okay.
279000	283000	I think I know which one then.
283000	285000	Okay.
285000	287000	Cool.
287000	295000	That's one.
295000	298000	Okay, so this one...
298000	300000	This one, it's like...
300000	302000	There's also a diamond on top.
302000	303000	Okay.
303000	306000	But it's like on top of a table, sort of.
306000	308000	Like this table is quite tall.
308000	310000	Because if you see the other...
310000	314000	Like the diamond's on top of tables of like squat tables and then tall tables.
314000	317000	I'm referring to like a taller table.
317000	318000	Okay.
318000	321000	And this table doesn't have any protrusions.
321000	324000	No prominent protrusions, I would say.
324000	325000	Okay.
325000	326000	Yeah.
326000	328000	Is the table kind of like a...
328000	332000	Like has like a triangle in the middle on top?
332000	337000	And then the diamond off of that?
337000	338000	Not really.
338000	340000	It's just the diamond on top.
340000	342000	And then sort of like a...
342000	347000	It almost looks like a trapezoid, but the edge is a little jagged.
347000	351000	Okay.
351000	353000	Do you have any ideas?
353000	356000	Maybe, like...
356000	366000	Oh.
366000	370000	Okay, this one...
370000	372000	It also has a diamond head.
372000	373000	Okay.
373000	381000	And then this time...
381000	385000	It's like...
385000	389000	It has...
389000	394000	Oh, I'm sorry, this one's too...
394000	399000	It's like a person kneeling and then asking for something.
399000	400000	Okay.
400000	405000	And the hands are triangles pointing to the right.
405000	407000	Okay.
