start	end	text
0	27800	Alright, like, kind of like the dancing one with the big left leg, triangle right leg.
TRIAL2	35800	This is the ladle.
49800	51800	Um, ostrich.
57800	67800	The house with the chimney on the right.
68800	72800	Oh, sorry. Oh, that's it.
80800	86800	Um, the person with bent legs facing right, um, holding something.
97800	100800	Three petal flower.
112800	115800	Two petal flower.
127800	133800	Um, weird one, two triangles on top, the small ones.
143800	146800	Throwing up arms.
157800	162800	Two heads, feet on the left.
171800	174800	Um, legless horse.
174800	177800	Um, symmetrical legs.
177800	180800	Um, symmetrical legs.
180800	183800	Um, symmetrical legs.
190800	195800	House with the arrow on the left.
210800	213800	Ice skating one.
236800	239800	Kid riding horse.
240800	255800	Horse pointed up.
255800	270800	Um, robot.
270800	285800	Kneeling with the triangle arms outstretched.
300800	320800	Alright.
