start	end	text
0	7000	it.
14920	21920	This is a robot.
TRIAL2	28920	The two-petal flower.
45360	52360	Like, like this horse.
59920	66920	Like the ladle.
75320	82320	It's like the, um, kneeling with the triangle arms outstretched.
88920	95920	Um, house with the arrow.
110680	117680	The horse pointed left.
118920	137920	It's the person, like, ice skating almost with, like, the leg extended on the right.
149920	156920	It's the, like, strange one with the two triangles on top.
166920	173920	The three-petal flower.
179920	186920	The, like, kid on the horse.
186920	193920	Um, the ostrich one.
194920	201920	Um, the ostrich one.
212920	219920	Um, the house with the bright chimney.
224920	239920	Um, the person with, like, the tilted square head on the left and, like, the large leg
239920	246920	on the left triangle on the right.
246920	249920	Like, dancing almost.
249920	251920	Can you say that again?
251920	257920	It's like, tilted square head on the left and, like, big leg on the left and then small
257920	262920	triangle on the right, yeah.
267920	274920	The, um, one you said has, like, the symmetrical legs.
279920	294920	Um, person with, like, bent knees facing right holding something out, like a triangle out.
294920	312920	Um, the two-headed one with, like, trapezoid and square.
312920	326920	And, like, the one throwing hands up.
342920	349920	Great.
349920	353920	Great.
353920	357920	Great.
358920	361920	Great.
367920	370920	Great.
