start	end	text
0	22000	Yeah, I'm good.
22000	35000	Yeah.
36000	53000	Yeah.
53000	68000	Triad.
68000	88000	This is the house.
88000	101000	Kill.
101000	122000	This is the one with.
122000	140000	This is the two headed one with a square at the top.
140000	155000	This is the house.
155000	175000	This is the one.
175000	202000	This is the house.
202000	217000	The house with the arrow to the left.
217000	231000	This is like the ice cream tent.
231000	249000	This is the one with the two small triangles on top.
249000	269000	This is the one with a tilted square head and like a big left leg and then a small triangle on the right leg.
269000	287000	This is the one with the symmetrical lights.
287000	302000	This is the one with the three petals on top.
302000	329000	Little.
329000	353000	Okay.
353000	363000	Okay.
