start	end	text
0	5000	Okay.
5000	10000	Yeah.
10000	15000	Right.
15000	20000	Okay.
20000	25000	Okay.
25000	30000	Okay.
30000	35000	Okay.
35000	40000	Okay.
40000	45000	Okay.
45000	50000	Okay.
50000	55000	Okay.
55000	60000	Okay.
60000	65000	Okay.
65000	70000	Okay.
70000	75000	Okay.
75000	80000	Okay.
80000	85000	Okay.
85000	90000	Okay.
90000	95000	Okay.
95000	100000	Okay.
100000	105000	Okay.
105000	110000	Okay.
110000	115000	Okay.
115000	120000	Okay.
120000	125000	Okay.
125000	130000	Okay.
130000	135000	Okay.
135000	140000	Okay.
140000	145000	Okay.
145000	150000	Okay.
150000	155000	Okay.
155000	160000	Okay.
160000	165000	Okay.
165000	170000	Okay.
170000	175000	Okay.
175000	180000	Okay.
180000	185000	Okay.
185000	190000	Okay.
190000	195000	Okay.
195000	200000	Okay.
200000	205000	Okay.
205000	210000	Okay.
210000	215000	Okay.
215000	220000	Okay.
220000	225000	Okay.
225000	230000	Okay.
230000	235000	Okay.
235000	240000	Okay.
240000	245000	Okay.
245000	250000	Okay.
250000	255000	Okay.
255000	260000	Okay.
260000	265000	Okay.
265000	270000	Okay.
270000	275000	Okay.
275000	280000	Okay.
280000	285000	Okay.
285000	290000	Okay.
290000	295000	Okay.
295000	300000	Okay.
300000	305000	Okay.
305000	310000	Okay.
310000	315000	Okay.
315000	320000	Okay.
320000	325000	Okay.
325000	330000	Okay.
330000	335000	Okay.
335000	340000	Okay.
340000	345000	Okay.
345000	350000	Okay.
350000	355000	Okay.
355000	360000	Okay.
360000	365000	Okay.
365000	370000	Okay.
370000	375000	Okay.
