start	end	text
29000	47000	It's the flamingo flying to the right.
TRIAL2	65000	Pistol squad.
65000	83000	Top down view of a crab.
83000	85000	Bunny facing right.
85000	103000	Bunny on a mountain as you describe it.
103000	123000	Letter I with additional shapes bottom left.
123000	127000	A rectangle base with the rectangles facing both directions.
127000	143000	Rhombus head connected at a single point to a triangle.
143000	160000	Person with legs spread out, left leg has a foot facing upward, rhombus head.
160000	180000	Small triangle at the bottom right facing downward connected by a small pipe.
180000	185000	Parallelogram base with right triangle cut out directly to the right of that.
185000	189000	Small right triangle connected at a single point to the right of that.
189000	205000	Rhombus head on the left side.
205000	220000	Person hugging their knees facing left.
220000	237000	Person riding a dog.
237000	256000	Person kneeling with a parallelogram cut out on the left side.
256000	274000	The other one with bunny ears, not the bunny on a mountain.
274000	293000	Person kneeling with the two triangle cut outs, right one high and left.
293000	311000	Person standing on one leg with left foot raised, upper right side is a rhombus head.
311000	326000	Farmhouse with a chimney on the right.
326000	345000	Person with a face.
345000	372000	Rhombus head connected at a single point to the right of that.
372000	385000	Rhombus head connected at a single point to the right of that.
