start	end	text
0	7000	Sounds good.
7000	28000	Alright, I'll start, let's do it.
28000	44000	Okay, this is the eye with the extra stuff on the left.
44000	59000	Person sitting down hugging his feet.
59000	76000	Pipe.
76000	91000	Person kneeling facing right, triangle cutouts.
91000	105000	Spinks.
105000	120000	Crab.
120000	133000	House in chimney.
133000	148000	Bunny on a mountain.
148000	163000	Pistol squat.
163000	177000	Person riding the dog.
177000	189000	Cat.
189000	203000	Monster.
203000	218000	Fountain.
218000	233000	Kangaroo.
233000	248000	Person kneeling facing right, parallelogram cutout.
248000	263000	Flamingo.
263000	276000	Not bunny on a mountain.
276000	282000	This next one, let's call it karate chopping, it's the spread legs, right?
282000	284000	Yeah, spread legs.
284000	286000	Karate kick.
286000	313000	Okay.
313000	322000	Sounds good.
