start	end	text
0	1000	Okay.
1000	2000	This is the person with the triangle at the top.
2000	3000	Just a second.
3000	4000	Got it.
4000	5000	Okay.
5000	6000	Okay.
7000	8000	Okay.
8000	9000	Okay.
9000	10000	Okay.
10000	11000	Okay.
11000	12000	Yeah.
12000	13000	Okay.
13000	14000	That's good.
14000	15000	Alright.
15000	16000	Okay.
16000	17000	Okay.
17000	18000	Okay.
18000	19000	Hi.
19000	20000	Okay.
20000	35000	Uh, so this is the person with the triangle at the top.
35000	36000	Got it.
36000	37000	Uh, one with the squiggly line on the right.
37000	38000	You've got it.
39000	58000	Uh, one with the squiggly line on the right.
58000	59000	You've got it.
59000	60000	The person in a beanbag chair.
60000	61000	Uh, would you repeat that?
61000	62000	They look like they're in a beanbag chair.
62000	63000	Oh, got it, got it, got it, got it, got it, got it.
63000	64000	Uh, one with the squiggly line on the right.
64000	65000	You've got it.
65000	66000	Uh, one with the squiggly line on the right.
66000	67000	You've got it.
67000	68000	Uh, one with the squiggly line on the right.
68000	69000	You've got it.
69000	70000	Uh, one with the squiggly line on the right.
70000	71000	You've got it.
71000	72000	Uh, one with the squiggly line on the right.
72000	73000	You've got it.
73000	74000	Uh, one with the squiggly line on the right.
74000	75000	You've got it.
75000	76000	Uh, one with the squiggly line on the right.
76000	77000	You've got it.
77000	78000	Uh, one with the squiggly line on the right.
78000	79000	You've got it.
79000	80000	Uh, one with the squiggly line on the right.
80000	81000	You've got it.
81000	82000	Uh, one with the squiggly line on the right.
82000	83000	You've got it.
83000	84000	Uh, one with the squiggly line on the right.
84000	85000	You've got it.
85000	86000	Uh, one with the squiggly line on the right.
86000	87000	You've got it.
87000	88000	Uh, one with the squiggly line on the right.
88000	89000	You've got it.
89000	90000	Uh, one with the squiggly line on the right.
90000	91000	You've got it.
91000	92000	Uh, one with the squiggly line on the right.
92000	93000	You've got it.
93000	94000	Uh, one with the squiggly line on the right.
94000	95000	You've got it.
95000	96000	Uh, one with the squiggly line on the right.
96000	97000	You've got it.
97000	98000	Uh, one with the squiggly line on the right.
98000	99000	You've got it.
99000	106000	Um, this is, this is one of the ones we practiced.
106000	111000	Um, it's, has a diamond at the top.
111000	122000	And at the bottom right, there's a little triangle that's kind of sticking out.
122000	126000	And then on the left, there's like a parallelogram shape.
126000	127000	Okay.
127000	128000	It looks like someone is sliding, right?
128000	129000	That's how I described it.
129000	130000	No, not the cha-cha slide.
130000	131000	No, but I mean, like they're going down the slide or something.
131000	132000	Do you think you can describe it?
132000	133000	Yeah.
133000	134000	Yeah.
134000	135000	Yeah.
135000	136000	I mean, yeah.
136000	137000	All good.
137000	138000	Okay.
138000	139000	We should call that one just sliding then.
139000	140000	Yeah.
140000	141000	Sliding.
141000	142000	Yeah.
142000	143000	Okay.
143000	154000	Um, this is, it looks like it's going down the slide.
155000	158000	Um, this is, it looks like someone is like kind of kneeling.
158000	162000	And on the right, there's like a triangle sticking out.
162000	163000	Okay.
163000	165000	They're like top kneeling, right?
165000	166000	Yeah.
178000	179000	The tilted scale.
180000	181000	Get at it.
192000	194000	The house with the chimney.
195000	196000	Get at it.
210000	212000	The swan, but not like the simple swan.
212000	213000	Yeah, got it, got it, got it.
226000	227000	The house with the tree.
228000	229000	Got it.
240000	242000	The child riding the dog.
242000	243000	Got it.
254000	255000	Venus flytrap.
255000	270000	The symmetrical one with the two diamonds.
270000	271000	Got it.
271000	291000	The, it looks like someone kneeling and they're like holding something out in front of them.
291000	294000	There's like a little tail shape on the back.
294000	298000	Okay, got it, got it, got it.
301000	318000	Um, it looks like, like there's a square diamond shape on the right and then there's a leg sticking out on the left.
318000	323000	Uh, would you do more?
323000	332000	Yeah, so, um, it kind of looks like a person and on the top right, there's a square diamond shape.
332000	338000	And then on its left side, it looks like there's like a leg sticking out.
338000	344000	Are they, um, are they walking and reading?
344000	346000	No, they're not reading. It's not that one.
346000	348000	Is it the theatrical one?
348000	349000	No.
349000	350000	No?
350000	355000	It's, it's like standing on one leg and then the other leg is behind him.
355000	358000	Is it like the collar one?
358000	359000	No, it's not that one.
359000	363000	Okay, got one way.
363000	370000	Um, is it the one with like a small triangle on the right and like, I don't know.
370000	372000	Oh, got it, got it, got it.
372000	375000	Okay.
375000	377000	That took me a little long, sorry.
377000	384000	It's okay.
384000	388000	This one is the one that looks like someone running out with a wedding.
388000	391000	Okay, got it.
391000	393000	It's giving me speed now.
393000	402000	Yeah.
402000	403000	The boat.
403000	419000	Yep, got it.
419000	433000	Airbus.
433000	436000	The bunny ears and it's like sitting down.
436000	439000	Got it, got it.
439000	444000	Oh wait, it doesn't have like, is it like turned to the right or turned to the left?
444000	446000	It's turned to the right.
446000	457000	Okay.
457000	460000	The horse with the parallelogram tail.
460000	473000	Got it.
473000	476000	The simple kneeling one.
476000	490000	Got it.
490000	510000	Um, it kind of looks like a dog and then the front legs are longer than the back legs.
510000	522000	Yep, got it.
522000	539000	The person reading while they're walking and they're facing to the left.
539000	557000	The horse with the triangle tail.
557000	560000	Um, this one also has bunny ears.
560000	574000	Okay, got it.
574000	578000	Um, this one, it kind of looks like a water fountain.
578000	584000	So there's a diamond at the top and then there's like a column.
584000	586000	Oh, got it, got it, got it.
586000	588000	That's a good one, water fountain.
588000	596000	Yeah.
596000	598000	Cha-cha slide.
598000	610000	Nice.
610000	624000	Megaphone.
624000	638000	Crap.
638000	640000	Um, upside down sloth hat.
640000	654000	Got it.
654000	670000	The person trying to fly.
670000	674000	Um, this also looks like someone trying to ride a horse.
674000	676000	Okay, got it.
676000	681000	Is it like a person is like a little triangle and a square?
681000	693000	Yep.
693000	708000	Simple swan.
708000	711000	This one is Maddie with the collar.
738000	743000	Yep.
