start	end	text
0	28000	Okay, this one's the trapezoid facing down with the power on the ground on each side.
28000	53000	This one's the animal facing to the left with the tail as a parallelogram.
53000	73000	This one's the person praising with the rhombus more towards the left.
73000	90000	This one's the one with the two triangles touching one point on top and a square on the left side.
90000	105000	This one's the person walking to the left picking up their shoe.
105000	121000	This is the person walking with baggy pants.
121000	146000	This one's the one with the parallelogram on the left bottom left and then connected to a trapezoid and a triangle facing.
146000	162000	This is the house with the tree on the left.
162000	180000	This is the animal facing the right with the triangle connected by one trapezoid.
180000	188000	This one has a rhombus on top more on the left and it's connected to a flat surface.
188000	204000	It looks like there's a triangle made up by the white space on the right side.
204000	217000	This one's the big owl.
217000	234000	This is the one with the three triangles on top and the middle one's the widest.
234000	250000	This one's the animal facing left with something on its back.
250000	266000	This one's the person walking with the bag on and then a square on their head.
266000	280000	This one's the house with the chimney on the right.
280000	296000	This one's the person kneeling facing the right while reading a book.
296000	318000	This one's the animal facing towards the left triangle on the top left and then a triangle facing down on the bottom right.
318000	346000	This one has a rhombus more towards the right and it's touching two triangles.
346000	366000	This one has a rhombus more towards the right and it's touching two triangles.
