start	end	text
0	7440	Thank you.
30000	55920	Okay, so what I see is a square slightly rotated at the top, probably about 45 degrees and three
56000	62640	parallelograms. So like one really big one right under the square and then two parallelograms
62640	68640	kind of like reflected. They kind of look like arms so it's like if you imagine a person
69840	74720	waving up so it's like two parallelograms as their arms and then you've got a big one kind
74720	82880	of like a body and then the head is like a slightly rotated square and the head is like
82960	88000	it's not directly at the center of the big parallelogram so it's kind of leaning
88720	95840	or it's kind of closer to the left. So think of it like two arms going up and then like
96960	104560	the body but then the head is closer to like the left. I don't know if that made sense.
105520	111760	Okay, we're like trying to narrow down. Let's see.
114000	116160	Okay, so you said the head is to the left?
117280	123840	Yeah, so it's like slightly rotated and it's like it'll be closer to your left so there's like
123840	130080	two parallelograms that are like arms I guess and the head will be closer to the left parallelogram.
130800	134320	Okay, does it look like its arms are kind of raised up?
135680	140800	Uh, a little louder. I can hear you. Oh sorry, does it look like the arms are raised up?
141520	146880	Yeah, it's like think of it like there's a yelling hooray or something and they have
146880	172720	both their arms up. Okay, so the top is like a triangle with the long side of the triangle
172720	182160	facing right and the like pointy end of it at the left and it's so it's like it's a vertical
184080	190400	and then right under that is like a bigger triangle but this one isn't vertical. The
190400	199760	hypotenuse is like diagonal so it's like a small triangle and then a bigger triangle
200320	206960	that kind of looks like the body then there's a rectangle right under it. Everything is kind
206960	211840	of vertical I'd say and then at the although at the bottom is like a trapezoid.
213280	218640	Does it look like a person reading a book? Low-key, yes, yes, yes, low-key yeah. Okay.
218960	241040	Okay, so this is fully symmetric. It's a trapezoid with the longer side on the top and the shorter
241040	246800	side at the bottom and then there's like two parallelograms on top of it. Does it look like
246800	256880	a crab? Yes, a crab. I am not doing this right.
262240	270320	Okay, this is like a guy he's like walking like casually walking so it's like these are like two
270400	278640	triangles. Wait, does it look like his arm is pointed to the left? Oh gosh. Oh no. It
278640	282880	accidentally pressed it. I meant to press the different thing. I'm so sorry. You're good.
287280	296320	Okay, this looks like a dog. Wait, wait, don't click yet. The dog and like its feet are like
296320	304320	lined up. So like one of the feet could be a trapezoid and the other one a parallelogram?
304320	311360	Yes, yes, yes. I'm so scared of pressing the wrong button. No, no, you got it. There we go.
312000	312400	Yes.
318640	320240	Oh, sorry. Okay.
322640	333440	Um, all right. Sorry. The head is a square that is like 40 at 45 degrees. So like,
334400	341840	um, how do we describe it? The bottom is like a triangle. It's like two triangles with
342720	346240	a rectangle at the center. Upside down Christmas tree.
348000	354640	Uh, I can't, I can't hear you. Upside down Christmas tree. I don't think it looked maybe.
354640	359200	Not really. Wait, no, it doesn't really look like a Christmas tree. Okay, so it's not that one.
359600	368240	So the, the head is like a side, it's like a diagonal square, I guess. And then I think
