start	end	text
0	10900	and a rectangle a rectangle body is its head also like a parallelogram yeah it has two legs
TRIAL2	33340	it's like a very voluptuous woman or you could think of it as a bag of grapes it's like a bunch
33340	41380	of grapes like two squares two diamonds one on top of the other and then a square on top
53380	61860	it's like a peasant who's sitting on the ground he's sitting on his butt his legs are you know
61860	67820	in front of him his head is a square and his neck is slightly inclined and his arms are
67820	73860	below him and yeah so his whole body's on the ground and he's looking he's like craning his
73860	81100	neck his back is bent he's he's he's not kneeling he is not kneeling so it's like he's sitting
81100	89140	like he's lying on his back he's lying on his back he's lying on his back but his back is up
89140	92940	like you know what I mean like when you're like in your bed on the pillow with a computer yeah
92940	107020	okay got it oh okay so it's this guy leaning over diagonally that's the first one and then
107020	113860	this guy has his arms raised like what are you doing and then he's like kind of like weirdly
113860	131620	diagonal okay so yeah okay cool oh it's like a rabbit it's a rabbit that's sitting sitting
131620	150140	and contemplating life it's got two ears lol I got you okay so this is like a crab it's like
150140	155900	a really simple symmetric structure it's like a bowl a bowl or a crab you know like a crab
155900	171540	with its arms up like numb like yeah okay cool oh man this one's really weird man it's like that
171540	177500	rabbit but like the rabbit got really fucked up and it's like okay okay so there's like two
177500	183380	rabbits right it's not the one that has a square tail it's not the rabbit with the square tail it
183380	190020	is not that one it's the rabbit with a triangle for a hat like it's got a square ear and a
190020	197300	triangle ear but there's like two ears on top of it and it's got like a triangle sticking out
197300	205020	of it on the side you know what I'm talking about oh to a square and a triangle on the
205020	222540	top and a triangle sticking out cool this is like a mouse it's like again the square and the
222540	228500	triangle ears the mouse is like looking up its face is like very pointy and sharp and it has
228500	233100	like a triangle paw again that's kind of sticking out but it's not actually sticking out it's like
233100	260060	part of it so square square ear triangle ear looks like a mouse this is like it's like a
260060	268340	straight line it's a no no no no let me retry that so from the top left to the bottom right
268340	275740	it's like a straight line it looks kind of like a horse without legs like it only has back legs
275740	284060	like it's like a horse rearing but like the front legs like fell off or something wait top left to
284060	290140	bottom right it's a straight oh it's like a horse that's pawing the air but no no paws like
