start	end	text	trial
0	29000	It's the guy on like a horse, but it's like a horse, like a baby horse on, like, a boat.
TRIAL2	48000	It's like the skinny triangle head that's holding, like, a diamond.
59000	73000	Tank.
73000	88000	House with the arrow.
88000	111000	Crab.
111000	130000	It's the guy who's, like, flying on his back, like, as if against pillows with his knees up.
130000	146000	Dealing with his arms out.
146000	160000	Big step.
160000	179000	It's like the diagonal, you said, like, straight line from top left to bottom right.
179000	194000	Grapes.
194000	209000	Rabbit.
209000	223000	Michael Jackson.
223000	251000	It's like a rabbit, but with a square, or not really a rabbit, a square and a parallelogram that's, like, lying on the ground.
251000	272000	Mama.
272000	288000	Toilet.
288000	308000	It's like, it has two triangle ears. It has a diamond that is, like, in its middle to its left.
308000	323000	Scale.
323000	340000	It's like bamboo.
340000	357000	Dealing with tail.
357000	365000	Like, a dog with no tail.
365000	369000	With a parallelogram head.
369000	384000	And a rectangle body.
384000	398000	Boy on dog.
398000	415000	Dealing without arms.
415000	430000	House with chimney.
430000	451000	It's like a diamond head with one foot sticking out. I guess you could call it a dress. Like a triangle, wearing a triangle on the bottom.
451000	466000	Two heads.
466000	481000	Scorpion.
481000	497000	Little bingo.
497000	517000	Wide glass.
517000	531000	Top hat.
531000	552000	It's a diamond head with one arm extended, like, one, like, the train of a sleeve and of, like, a robe.
552000	573000	Bounce.
573000	588000	Dancing with one leg extended behind.
588000	604000	God.
604000	624000	Arms out.
624000	649000	It's like the dog with a tail that has triangle feet. I don't know.
