start	end	text
0	1000	Okay.
1000	2000	Okay.
2000	3000	Gotcha, gotcha.
3000	4000	Let's go.
5000	10000	Okay.
10000	13000	Okay.
13000	18000	Gotcha, gotcha.
18000	20000	Gotcha, gotcha.
21000	23000	Let's go.
35000	39000	Okay, this one is a...
39000	41000	...a parallel game on the very top.
41000	44000	And then it's like a small skinny thing going down.
44000	46000	And then in the very right...
46000	48000	...and then going to the right is like a square.
49000	51000	Yeah.
59000	62000	Uh, this is like an animal with two...
62000	65000	...the front triangle bigger than the back triangle.
68000	71000	Like, front foot is bigger than the back foot. Yeah.
72000	74000	Nice.
80000	83000	Okay, this is an upside-down trapezoid.
94000	99000	Okay, this is two diamonds with a square on the top.
99000	101000	An upside-down tree.
110000	112000	Spaceship.
125000	127000	Yeah, other animal.
128000	132000	Peligamper, one of the front foot.
143000	147000	House with a triangle to the left.
157000	160000	Chunky man. Chunky man with the two legs.
160000	162000	Two feet, two triangles.
162000	164000	Hey, hey, hey.
171000	174000	Someone with two arms in the air.
174000	176000	Peligamper, the body.
188000	191000	Um, person riding a horse.
191000	193000	Because it's more like a dog.
193000	196000	It's a little child riding a dog.
204000	206000	Pants den.
218000	222000	Uh, dancer with a gen opener.
236000	240000	Cleared shapes going in the line from the top left to the bottom right.
248000	251000	Music note.
264000	268000	Oh, totem pole. Weird totem pole with the... Yeah, there you go.
278000	282000	A person, like, sitting down in, like, a crash position.
288000	290000	Depresso espresso.
292000	294000	Okay, splits.
294000	296000	Priest.
306000	308000	Priest.
320000	322000	Scorpion.
324000	328000	Um, blob with the triangle to go into the right.
339000	343000	Okay, this is, like, a rectangle going from the top left to the bottom right.
343000	347000	Okay, this is, like, a rectangle going from the top left to the bottom right.
347000	351000	And then there's a triangle coming... Yeah.
360000	363000	Okay, this one's a flamingo.
363000	365000	Or a swan.
366000	369000	Okay, this one's a flamingo.
369000	371000	Or a swan.
380000	383000	Okay, a person, like, zombie kind of guy.
383000	386000	One foot on the floor, one foot going to the left.
386000	390000	Okay, kneeling to the right with, like, a triangle outstretched.
390000	395000	And then a triangle, like, two triangles to the right.
395000	399000	Um, and, like, they're, like, kneeling, but then there's, like, a blob in the very bottom.
399000	403000	It's, like, a triangle with a right angle on the bottom left.
403000	407000	Okay, this is a person, like, a zombie kind of guy.
407000	409000	Or a zombie kind of guy.
409000	411000	Or a zombie kind of guy.
411000	413000	Or a zombie kind of guy.
413000	417000	With a right angle on the bottom left.
417000	419000	Yeah.
427000	429000	Toilet.
429000	431000	Toilet.
441000	443000	Uh, horse-neighing.
443000	445000	Uh, bunny.
445000	447000	Bunny ears.
447000	449000	Triangle body.
449000	451000	Nice.
459000	461000	Uh, ice skating.
461000	463000	Ice skating.
463000	465000	Ice skating.
465000	467000	Ice skating.
467000	469000	Ice skating.
469000	471000	Ice skating.
471000	473000	Uh, ice skating.
483000	485000	Scuba diver.
485000	501000	Okay, this one is weird.
501000	506000	Um, triangle with the right angle to the right.
506000	510000	And then another triangle on top of that with a rectangle on top of that.
510000	513000	And then another triangle on top of that with a right angle on the left.
513000	515000	And then a tiny little triangle on the...
515000	517000	Oh, sorry.
517000	521000	That's a bad description.
525000	529000	Um, right arm detached, left arm attached.
529000	549000	Um, the whole, like, triangle, like, giving hands out to the right.
549000	553000	But then this time the parallelogram on the bottom instead of a triangle.
559000	573000	Okay, and this is, like, a floating person going to the sky with a triangle, upside down triangle, like, on his butt.
573000	575000	And then a head, the square head.
575000	581000	And then a rectangular body going from the bottom left corner to the upper right corner.
581000	583000	Um, triangle.
583000	587000	Uh, yeah.
587000	597000	Ha ha ha.
597000	610000	Riding horse.
610000	624000	Pile's rectangle on the right.
624000	628000	Okay, this is, like, an upside down triangle on the bottom right corner.
628000	632000	And then on top of that is, like, another triangle.
632000	636000	Yay!
662000	690000	Ha ha ha.
690000	692000	Thank you.
