start	end	text
0	12720	Okay, oh, okay, yeah, so this one is, it looks like a dude riding a, like an animal, and
12720	23640	the animal, the animal is facing to the left, and the person's head is a square, and the
23640	39360	tail of the animal. Okay, this one looks kind of like a bunny rabbit, like two triangles
39360	45800	on the top of his head, and it's like, the bunny rabbit is like, the bunny rabbit's body
45800	60320	is a triangle. Okay, this one looks like, like a priest who has his hands out pointed
60320	77400	to the left, his head is a square. Okay, this one is like, a bulkier priest, and his, his
77400	84760	is like a little stubby arm pointing to the right, and it's a triangle, and his head is
84760	101040	a square, and the foot. Okay, this one looks like, just like an animal, his head is a parallelogram,
101040	117520	and it's like pointing to the left as two, like legs. Okay, this one, this one looks like
117520	139840	an upside down Y, and the top is a square, the bottom, okay, this one looks like, just
139840	147200	like an oval blob with a square on top, and like a tiny thing jutting out on the bottom
147200	163200	right side, like, looks like, like a, like, like the thick priest, but like, there's a
163200	177880	little triangle. Okay, this one has a triangle for the base, but then at the, at the bottom
177880	187280	right corner of the triangle is another upside down triangle, and the top is a square. And
187280	204520	on the left and right side, there's like two more shapes jutting out. Okay, this one looks
204520	210440	like a scuba diver, and the little flipper leg, the flipper feet are two triangles at
210440	228800	the bottom, and the scuba diver. Okay, this one is like, it's, it's very simple, it's
228800	248560	just a parallelogram, and then there's like a line coming down on the left side. This one looks
248640	258360	like, if you think of like a monk with like their robes, they're like, he's like standing, and he's
258360	269600	facing to the left, and he's lifting one of his legs up. His head is a square, the feet are little
269640	293280	triangles. Another way to think of it is, oh, nice. Okay, this one is just kind of like a line of
293280	300400	shapes going from the top left to the bottom right. It starts with like a triangle, then a
300400	313600	trapezoid, then a parallelogram, and then a triangle. This one reminds me of someone doing a
313600	321000	handstand, like there's a square on the bottom that I think is the head, and then the top is just
321040	337760	a small triangle, and then there's a big triangle at the bottom, at the very bottom. And the square is
337960	349480	kind of like a quarter of the way up from the bottom of the picture. The top is like a tiny triangle.
358040	364800	Okay, this one reminds me of someone praying. The bottom is a parallelogram, and they're kneeling
364920	369040	towards the right. The bottom is a parallelogram.
378000	386720	This one is like a scorpion. It has like a square and then two triangle arms and a tail going down to
386720	409600	the right. The bottom right, like the tail part, is a parallelogram, and there's a triangle at the top
409600	415360	that has like two triangles next to it, kind of making three points, kind of like a crown.
423120	429600	This is someone sitting down, their feet are pointed towards the left, and their head is tilted down a little bit.
440480	452160	Okay, this one is a rectangle slanted, pointing from the top left to the bottom right, and then there's
452800	457760	like shapes attached to it. So there's a triangle on like the bottom side.
458160	470960	This one is a house, and there's a rectangle on the right side sticking up.
470960	491920	Okay, this one has a square on the top, and then like two triangles pointed out from the sides,
492800	499920	but the triangle on the right is like detached from the main body, and then the bottom is like
499920	512560	a bunch of shapes. Okay, this one looks like the animal from before, but its head is a triangle,
513680	518880	and its front legs are bigger than the back legs, and it has a parallelogram tail.
519120	533280	Okay, this one reminds me of an ostrich, its head is pointed to the right, and it has two
533280	537840	triangle feet at the bottom. It looks like a swan or something.
538480	550000	Okay, this one reminds me of a person dancing, kind of, there's a rectangle
551040	555280	at the base, kind of going up and down, and then there's a triangle on the right,
556240	562400	and then on the left side of the rectangle is a square, and two more triangles, like the person's
562400	565360	arms. They're doing like a thingy.
572880	579360	This one is a symmetrical object, square on the top, looks like a spaceship on the bottom.
592400	603360	Okay, this one also symmetrical, this one is two diamonds on top of each other with a square on top.
603360	618320	Okay, this one is like the person praying.
