start	end	text
0	29000	This is the Crocodile.
TRIAL2	54000	Not a tree.
54000	68000	Woman bugging.
68000	84000	Ballerina.
84000	99000	Sad ghost.
99000	113000	Sad rabbit.
113000	128000	Radar gun.
128000	143000	Diamond on the cliff.
143000	156000	Upside down tree.
156000	174000	Begging angel.
174000	189000	Rare shapes.
189000	204000	Dog.
204000	218000	Tree with a bug.
218000	233000	Kid reading.
233000	246000	Telephone.
246000	261000	Black glass.
261000	275000	Sitting cross sits on a table.
275000	290000	Sitting against a wall.
290000	306000	One more.
306000	327000	Okay.
