start	end	text
30000	33000	It's sitting at a table across from someone.
33000	35000	Got it. One second.
48000	50000	Not a tree.
50000	52000	Okay. Nice.
61000	65000	Uh, diamond on cliff.
65000	67000	Okay.
80000	82000	It's the woman begging.
82000	84000	Okay.
90000	96000	Array of shapes.
96000	98000	Okay.
110000	112000	Uh, beggar with wings.
112000	114000	Okay.
120000	122000	Telephone.
122000	124000	Okay.
136000	138000	Dog facing to the left.
138000	140000	Got it.
141000	143000	Dog facing to the left.
143000	145000	Got it.
155000	158000	Uh, ghost with the wisp to the right.
158000	160000	Got it.
171000	173000	Kid reading.
173000	175000	Nice.
185000	188000	Man leaning against the wall facing to the left.
188000	190000	Okay.
200000	202000	Sad rabbit.
202000	204000	Sad rabbit.
214000	218000	Uh, priest with book facing to the left.
218000	220000	He has robes.
220000	222000	Got it.
222000	224000	Yeah.
231000	235000	Upside down tree.
235000	237000	Got it.
249000	251000	Radar got it.
260000	264000	The ballerina with one foot to the right.
264000	268000	One second.
268000	270000	And like the two arms are going to the left, right?
270000	271000	Yeah, yeah.
271000	273000	Okay, got it.
275000	277000	Nice.
278000	286000	Um, it's like a crocodile jumping up to get the diamond.
286000	288000	Okay.
288000	290000	I still don't see it.
290000	294000	Uh, I can like draw it out later.
294000	296000	Yeah, yeah, yeah.
296000	298000	Okay.
298000	301000	Okay, I still don't see it.
301000	305000	Uh, I can like draw it out later.
305000	307000	Yeah, yeah, yeah.
309000	312000	Um, he's holding a wine glass.
312000	314000	Okay.
323000	325000	Yeah, nice.
325000	327000	Ooh.
329000	331000	Okay.
331000	333000	Okay.
333000	335000	Okay.
335000	337000	Okay.
337000	339000	Okay.
