start	end	text
0	12000	Ah, wine glass.
12000	23000	Got it.
23000	38000	Ballerina.
38000	53000	Sad priest.
53000	66000	array of shapes.
66000	82000	Sitting at a table facing someone.
82000	97000	Radar gun.
97000	113000	Beggar with winks.
113000	129000	Sad ghost with wisp to the right.
129000	145000	Ah, crocodile.
145000	160000	Upside down tree.
160000	163000	Oh, sorry, I clicked the wrong one.
163000	164000	Oh, wow.
164000	165000	Oh, he's this.
165000	166000	That was lucky.
166000	169000	Okay, I just clicked the button accidentally.
169000	170000	Nice.
170000	174000	Um, women's backing.
174000	187000	Okay, got it.
187000	201000	Telephone.
201000	215000	Kid reading.
215000	229000	Dog.
229000	246000	Sad man leading against the wall.
246000	259000	Not a tree.
259000	274000	Sad rabbit.
274000	291000	Yes.
291000	295000	Awesome.
295000	296000	Awesome. Thank you.
