start	end	text
0	5000	Okay.
5000	10000	Okay.
10000	15000	Yeah, of course.
15000	20000	Uh, yeah.
21000	24000	Of course.
24000	26000	Uh, yeah.
43000	46000	I'm a rabbit.
50000	53000	Uh, toilet.
80000	83000	Crab.
95000	98000	Uh, camel.
111000	118000	Uh, this is the big rectangle, thin rectangle to the left trapezoid.
118000	121000	We need to find the name for that one.
121000	125000	Uh, factory.
130000	133000	Uh, aircraft.
140000	149000	Uh, guy walking to the left.
149000	151000	Big stride.
151000	154000	There it is.
162000	165000	House.
170000	178000	Uh, guy walking to the right.
178000	181000	Two triangle feet.
191000	194000	The weird one.
200000	203000	Uh, yoga.
212000	215000	Uh, flower.
231000	235000	Uh, break dancing.
248000	252000	Uh, this is the guy kneeling down.
252000	256000	Uh, two shapes under the head.
261000	264000	Tank.
273000	278000	Um, this is the no toilet.
278000	281000	No toilet or it's a toilet?
281000	284000	Not the toilet one.
290000	305000	Um, this is the guy with the big body and the two things facing right.
314000	318000	This is the no hands guy.
320000	323000	Easy ones, easy.
339000	341000	Yeah.
