start	end	text
0	16360	Okay, so this is the one with, like, the two square shapes that are, like, fused together,
16360	23000	and then there's, like, a little other square thing that's, like, coming out the top.
24000	30000	Okay, I think I know which one you mean. Does it kind of look like a swan facing left?
30000	41000	Um, no, not that one, I don't think. It's the one with, like, uh, it's like if you turned,
41000	47000	like, two squares with the vertex of each square facing down.
47000	48000	Oh, like, diamonds?
48000	49000	Yes.
49000	52000	Oh, I thought of that as, like, a spear pointing downwards.
52000	56000	Oh. Yeah, I guess it kind of looks like that.
56000	59000	Okay, so two diamonds and a square on top?
59000	60000	Yes.
60000	61000	Good.
66000	67000	Correct.
67000	68000	Okay.
72000	77000	Um, okay, so this one is, like, looks kind of like the weird guy who's, like, leaning
77000	84000	back and he has, like, one of his feet, like, pointed outward on one side and then his
84000	88000	head is leaning, like, on the other, in the other direction.
88000	89000	Yeah.
89000	92000	And then he has, like, a weird cape.
92000	100000	Yeah. Um, is the head more of a square or more of a diamond?
101000	108000	Uh, I don't know, really. It's...
108000	109000	Okay.
109000	110000	Hang on.
110000	112000	I think this one.
114000	116000	Yay.
116000	131000	Okay, uh, this one looks, it looks a little bit like a rabbit because it's got, like,
131000	139000	two triangles pointing out the right side and then it's got, like, a square for, like,
139000	143000	or, like, kind of a tilted diamond for, like, the...
143000	145000	Yeah, like a parallelogram?
145000	148000	Yeah, for the tail and then the legs are, like, separated.
149000	152000	Um, is it kind of long looking?
152000	158000	Uh, it's kind of long in, like, the vertical direction.
159000	161000	But not very long.
162000	166000	In the vertical direction. But it does have a parallelogram head?
166000	170000	Uh, yes, a little bit.
170000	171000	Oh.
171000	173000	Oh, no.
176000	178000	Oh, okay.
182000	188000	Um, this one's, like, it looks like a house and there's, like, a really long chimney
188000	193000	that's, like, a really elongated rectangle on the right side.
193000	211000	Um, this one looks a little bit like a little guy that's, like, has his legs spread apart
211000	215000	really, like, widely, but, like, doesn't have arms.
216000	220000	Can you say a little more? There's two guys that kind of look like that.
220000	223000	They appear to be almost mirrors of each other.
223000	229000	Uh, could you describe, like, what the two guys look like?
229000	231000	The two guys both have diamond heads.
231000	232000	Uh-huh.
232000	234000	Both have kind of triangles right below the diamond.
234000	235000	Yes.
235000	241000	And one is kind of leaning to the left and the other one, it looks a little more balanced.
241000	244000	He's got a foot kicking out to the left.
244000	249000	Uh, I think it's a second one with the foot pointing out to the left.
