start	end	text
0	23000	Okay, this is the surveillance camera.
23000	24000	Okay.
24000	25000	Just a second.
25000	26000	How did it go down?
26000	27000	Okay.
28000	29000	Yeah, you just keep going.
29000	30000	Yeah.
30000	31000	Got it, got it.
31000	32000	Okay.
32000	33000	Perfect.
33000	46000	House with the tree on the left.
46000	47000	Got it.
47000	65000	Um, this is the one that kind of looks like the horse with his legs up.
65000	67000	He's turned to the right.
67000	74000	So there's a diamond at the top and then a little triangle to the left.
74000	77000	Do you need me to describe it more?
77000	79000	Yeah, if you could.
79000	80000	Okay, yeah.
80000	81000	So...
81000	83000	Is it turned to the left or to the right?
83000	86000	If you think of it like the horse, he's turned to the right.
86000	91000	Oh, got it, got it, got it.
91000	92000	And like the...
92000	94000	Yep, got it.
104000	112000	Um, this looks like a little child riding a dog and it's facing to the left.
112000	113000	Okay, got it.
113000	126000	Yeah, the little tail is sticking out.
126000	129000	This one looks like the scale that's tilted.
129000	131000	Okay, just so you know, let me find it.
131000	146000	Oh, got it.
146000	153000	This one looks like a hooded figure kneeling down on the right with a megaphone.
153000	158000	Okay.
158000	160000	Do you need me to describe it more?
160000	161000	I'm good, I'm good.
161000	172000	Okay.
172000	174000	Um, this is the Venus fly trap.
174000	175000	Okay.
175000	176000	Where is it?
176000	177000	Where is it?
177000	178000	Oh, okay, got it.
178000	206000	Um, this is a symmetrical one with the two diamonds and then the square at the top.
206000	221000	Um, this is that one where there's a diamond on the top and then the left side is a straight line and then the right side is squiggly.
221000	233000	Okay.
233000	242000	This is, looks like a person hunched over reading a book and they're looking on the left side and there's just a random triangle on top.
242000	256000	Okay.
256000	261000	Um, this is a person holding a top hat upside down.
261000	262000	Okay, got it.
262000	283000	Just a second, let me click it.
283000	298000	Um, this one, it's the diamond at the top and then there's like a block shape underneath that and on the right side at the bottom, there's a little triangle sticking out.
298000	301000	Uh, is it, does it look like it's someone who's reading?
301000	304000	No, it looks like it's a little bit simpler than that.
304000	307000	It looks like, I think you described it as someone like kneeling down.
307000	325000	Okay, got it.
325000	328000	This looks like someone trying to fly.
328000	331000	Okay, got it.
331000	349000	This is literally the last one for me so it's like a lot of clicking.
349000	365000	Um, this is, so it's a big rectangle at the bottom and then on the left side, there's like a long column that goes up. I think it might have been like one of the first ones that we did last round.
365000	381000	Like this one, this one, yeah.
381000	397000	Cactus, okay.
397000	401000	Sea horse.
401000	416000	Got it.
416000	426000	Regular horse and there's like a little tail and it's like a parallelogram as a tail and it's going upwards and the tail is on the right.
426000	439000	Got it.
439000	467000	Um, the person doing an arabesque.
467000	476000	I'm all right, good.
476000	479000	I'm all good.
