start	end	text    	trial
0	23000	Horsie, riding a horsie, person riding a horsie.    	1
23000	40000	Spaceship.    	2
40000	56000	Handstand person. Two triangles on the top.   	3
56000	69000	Scorpion.   	4
69000	82000	Toilet. 	5
82000	96000	Upside-down trapezoid, two parallelograms.    	6
96000	110000	Ice skater. 	7
110000	130000	Weird-shaped dettached triangle on the right. Square head. Arms out. 	8
130000	145000	Dancer. Can opener bottom.  	9
145000	161000	Scuba diver.    	10
161000	177000	Oval blob person. Triangle bottom right.    	11
177000	191000	Thick person. Two triangles pointing to the right.   	12
191000	203000	House rectangle on the right.   	13
203000	217000	Music note. 	14
217000	231000	Person doing splits.    	15
231000	245000	Weird line of shapes.   	16
245000	259000	Horse neighing. 	17
259000	266000	Priest. Arms out to the left.   	18
