start	end	text    	trial
0	19000	Can opener dancer.  	1
19000	44000	Detached right arm. 	2
44000	67000	Oval blob, one right triangle, bottom right.    	3
67000	80000	Scorpion.   	4
80000	84000	Chunky guy. 	5
84000	100000	Thick guy, arms to the right.   	5
100000	112000	Handstand guy.  	6
112000	125000	Toilet. 	7
125000	140000	Splits, upside down Y.  	8
140000	155000	Priest, arms going to the left.  	9
155000	169000	Upside down trapezoid.  	10
169000	183000	Weird shapes in a line.    	11
183000	198000	Scuba diving.   	12
198000	212000	Music note. 	13
212000	226000	Ice skater. 	14
226000	239000	Riding horse.   	15
239000	253000	Spaceship.  	16
253000	268000	Horse neighing.  	17
268000	297000	House.  	18
