start	end	text
0	5000	Sounds good.
22000	27000	A flag man. Little guy.
30000	35000	Arrow house.
36000	41000	Arrow house.
55000	60000	Dell computer dog.
65000	70000	Spinks.
85000	90000	Door handle.
95000	100000	Mad men fly.
117000	122000	Fountain sculpture.
125000	130000	Chalice.
135000	140000	Wine glass.
147000	152000	Uh, freaking out.
155000	160000	Uh, praying with the feet tucked up.
160000	165000	Oh, offering, I mean. Like, offering to the right. Feet tucked up.
176000	181000	Uh, bunny.
181000	186000	Uh, swan.
186000	191000	Uh, swan.
198000	203000	Uh, double dreidel.
216000	221000	Um, hunchback.
231000	236000	Uh, happy llama.
246000	251000	Uh, half kneel.
258000	263000	Non-feet tucked up. No feet.
263000	268000	Uh, contemplative man.
275000	280000	Uh, upside-down table with a triangle.
280000	285000	Uh, upside-down table with a triangle.
297000	302000	Yeah, we did really good.
302000	307000	Woo!
320000	325000	Better movement?
325000	330000	Okay, good.
332000	337000	Hey Joseph, can you hear me?
