start	end	text
0	1000	Lada.
1000	2000	Racist.
2000	9360	Did we just complete five or are you about to do five?
9360	11640	No we just completed five we're about to go into six.
11640	12640	Okay let's go.
12640	16240	Also do you not know that's like they show 18?
16240	17240	Yeah.
17240	19240	But I'm not counting.
19240	21240	Oh you're counting them?
21240	22240	I'm not.
22240	23240	Oh.
23240	24240	Well it says it at the top.
24240	27240	Yeah but I can't read that I already told you that.
27240	28240	Oh okay well.
28480	29480	I guess I'm cooler.
29480	30480	Yeah you are.
30480	31480	Okay.
34480	37480	After we're done with the study we shouldn't be friends anymore.
39480	41480	I need somebody I need to be friends with people.
41480	42480	Oh okay.
42480	43480	Shut up.
44480	48480	I need to be friends with people more as good as describing photos into me.
48480	49480	Bro.
49480	51480	Bunny bunny bunny.
51480	53480	Um what?
53480	54480	Bunny.
54720	58720	You have to pronounce the B a little bit better.
58720	59720	BUNNY.
61720	62720	Alright you fucked me up.
62720	63720	All in empty.
63720	64720	All in empty.
64720	65720	Okay all in empty.
65720	66720	Okay.
69720	70720	Handstand.
70960	73960	Guy pushing something walking to the left.
86960	87960	What?
87960	90960	He's pushing something he's walking to the left.
100960	107960	Tango dancing guy tango.
121960	124960	Cool woman you almost got stretched out.
125960	126960	Ha.
127960	128960	It's almost like a huge.
129200	132200	Yeah we've established that already relax.
132200	133200	Uh huh.
138200	141200	House tall building on the side on the right.
143200	144200	You can just say house.
145200	146200	Okay I will.
147200	148200	Or don't.
148200	149200	Next time I will.
152200	153200	Oh a tiger.
153440	154440	Tiger.
157440	158440	Ha it's almost like you're.
159440	160440	Can you relax?
160440	161440	We're using each other.
161440	162440	It's fine relax.
163440	164440	Well you said that I wasn't as good as you.
169440	170440	Okay.
170440	172440	Uh it's the swan the duck.
173440	174440	The what?
174440	175440	Swan or duck.
177440	178440	Got it.
183440	184440	Horse.
205440	206440	Toilet.
213200	214200	Thriller dance.
215200	216200	Hope no hard edge on the left.
217200	218200	Okay.
219200	220200	Okay.
221200	222200	Thriller dance.
241200	243200	Hope no hard edge on the left.
249200	250200	Okay.
255200	257200	Boat no diamond on top.
273200	274200	Elvis.
275200	276200	What?
276200	277200	Elvis.
280200	281200	Ha.
282200	283200	Ha.
284200	286200	No my lips are really dry.
287200	288200	Same.
289200	290200	They hurt.
295200	297200	Disappointed guy riding a dog.
298200	299200	Okay.
306200	307200	Boat with a diamond on top.
312200	313200	Okay there's two left.
321200	323200	Disappointed guy sitting on the ground.
324200	325200	Ha.
332200	333200	Okay.
333200	349200	Crane or a pope but hard edge on the left.
350200	351200	Okay.
352200	353200	Okay.
354200	355200	Okay.
355200	365200	That's six that was round six.
366200	367200	That's good.
