start	end	text
0	24360	And as you can see, the
30000	35000	Rabbit.
35000	40000	Mouse.
40000	45000	Rabbit.
45000	50000	Mouse.
50000	55000	Mouse.
55000	60000	Mouse.
60000	65000	Mouse.
65000	70000	Big stop.
70000	75000	Big stop.
75000	80000	Big stop.
80000	85000	Mouse.
85000	90000	Mouse.
90000	95000	Toilet.
95000	100000	Mouse.
100000	105000	Mouse.
105000	110000	Two heads.
117000	122000	Magician.
136000	141000	Crab.
150000	155000	Arms out.
166000	171000	Flamingo.
182000	187000	Top hat.
196000	201000	Scorpion.
213000	218000	Grapes.
226000	231000	Wine glass.
245000	250000	Boy on dog.
255000	260000	Scales.
277000	282000	Tank.
285000	290000	Kneeling.
291000	296000	Kneeling.
310000	315000	Before we start the next round, I think my left ear, like that earplug has fallen out.
320000	325000	Thanks for watching.
