start	end	text
0	7000	Sounds good?
7000	14000	Okay, sounds good.
14000	23000	Okay.
23000	48000	Oh, this is the rabbit with the triangle body that looks like it's facing to the right.
48000	62000	This is the parallelogram guy riding a horse.
62000	78000	This is the guy with the head tilted down riding a horse.
78000	92000	This is the bird with the triangle leg out the right.
92000	107000	This is the guy holding a bull out to the left, who's kind of straight.
107000	124000	This is the guy who also looks like a bunny.
124000	139000	This is the house with the poultry.
139000	152000	This is the crab.
152000	167000	This is the person kneeling with arms out to the right.
167000	182000	This is the guy doing the splits with no arms.
182000	198000	This is the guy who's crouching with only his legs bent.
198000	212000	This is the hexagon water fountain thing with the...
212000	227000	This is the dog crouching facing left.
227000	244000	This is the simple guy who's just crouching.
244000	259000	This is the horse galloping towards the left.
259000	274000	This is the guy doing martial arts.
274000	290000	This is the water fountain.
290000	319000	This is the guy wearing the cape bending his leg out.
319000	331000	This is the guy doing the splits with arms out to the right.
331000	333000	This is the guy doing the splits with arms out to the left.
