start	end	text
0	25000	Uh, this is the cape guy, facing right, with the cape to the top left.
26000	40000	Uh, this is the martial arts guy.
40000	59000	This is the horse, galloping to the left.
59000	79000	This is the person on their knees, facing right, side of his head.
79000	86000	This is the rabbit guy, sitting down, facing right.
86000	101000	Uh, does it have a triangle for the body?
101000	126000	This is the guy riding a dog, looking downwards, they're facing left.
126000	143000	This is the dog, that's crouched, with his legs outstretched to the left.
143000	157000	This is the tiny parallelogram guy, riding a dog.
157000	172000	This is the simple guy, crouching.
172000	189000	This is the tall water fountain, with the diamond on top.
189000	197000	This is the short water fountain, with a hexagon face.
197000	201000	Uh, is this the one that kind of looks like a guy, facing the left?
201000	207000	No, it's the water fountain that has the hexagon face.
207000	223000	Maybe it looks like a spaceship. Maybe it's the diamond on top.
223000	237000	This is the house with the palm tree on the left.
237000	246000	This is the tall guy, facing with a bowl out to the left.
246000	257000	This is the tall guy, diving head, bowl out to the left, flogging sleeves.
257000	267000	Standing straight, yeah.
267000	285000	This is the bird, flogging the right.
285000	302000	This is the crab, going to the top right.
302000	319000	This is the guy, going to splits with no arms.
319000	325000	This is the guy, I think that's a bunny, kicking his own legs out to the left.
325000	337000	With a weird little square on his feet.
337000	354000	This is the guy, crouching, facing right with a bowl.
354000	356000	Great job.
