start	end	text
0	29920	All righty, um, person sitting down facing the left.
30560	39840	With a square head, uh, feet off.
44560	53840	The animalistic one.
59920	67840	All righty, uh, facing the left, two feet, but one of them is off the floor.
80320	81840	The hot mess.
89920	113680	Okay, um, the like, diamond, thin neck, big triangle facing the right.
113680	121600	So that's from, at the top is like a diamond.
133600	136480	Um, like the shins not quite on the floor.
144240	144480	What?
145440	150240	Like the, like kneeling, but like the, like the shins aren't like all the way down.
162720	165440	The like, farmhouse.
173680	182400	The one ear bunny reading a book.
182400	195120	Upside down now.
212800	227120	Um, kneeling all the way, like chins down.
230720	241120	Uh, like the big galloping horse.
242400	269600	Two ear bunny facing the right.
273040	293600	The square on top of figure eight.
293600	305920	The angel facing bottom left.
305920	316640	Um, square head, rhombus arms.
316640	335360	Okay, the swan that's like touching the little triangle.
347360	365360	Um, like missing the back leg, square head.
365360	384080	Okay, land line telephone.
395360	402080	That's fine.
