start	end	text
0	25000	One-Eared Bunny.
25000	28000	One-Eared Bunny?
28000	38000	One-Eared Bunny.
38000	48000	One-Eared Bunny.
48000	50000	One more time?
50000	53000	Full kneel.
53000	54000	Both trims on ground.
54000	69000	Yeah, yeah, yeah.
69000	86000	A galloping horse.
86000	103000	Side-down L.
103000	118000	Hot mess.
118000	134000	Rangel.
134000	150000	Handline.
150000	165000	Half kneel.
165000	183000	Tractors.
183000	202000	Swan.
202000	220000	One-legged Dancer.
220000	237000	Diamond and Triangle.
237000	259000	Egg with a square.
259000	275000	Barnhouse.
275000	298000	Two-legged Dancer.
298000	315000	Two-Eared Bunny.
315000	330000	Animalistic.
330000	355000	Sitting on the floor.
360000	375000	One-Eared Bunny.
375000	377000	One-Eared Bunny.
