start	end	text	trial
0	27800	This is the guy with the legs bent, with the pole on the right.	1
27800	37800	The regular house.	2
37800	39800	It looks like a farm actually.	2
39800	40800	A farm house.	2
41800	43800	Yeah, a barn.	2
46800	49800	The dog riding a dog.	3
64800	78800	A ballet dancer.	4
78800	92800	The register scanner thing.	5
92800	96800	The balloon dog.	6
108800	112800	The two bunny ears.	7
112800	117800	Two bunnies.	7
119800	121800	Yeah, he's like drinking tea.	7
121800	124800	A bunny drinking tea.	7
124800	139800	Sunglasses.	8
139800	150800	Wiener dog.	9
150800	156800	Ruff Ruff.	9
156800	174800	A traffic light.	10
174800	187800	Nessie.	11
188800	190800	The really sad guy.	12
190800	204800	Sad boy.	12
204800	205800	The kneeling.	13
205800	206800	blob guy.	13
206800	207800	No arms.	13
207800	208800	No legs.	13
208800	212800	Blob blob.	13
212800	218800	Just call him a blob.	13
218800	235800	A mushroom house.	14
235800	250800	A waiter.	15
250800	258800	The back kick.	16
258800	260800	Karate guy.	16
260800	268800	Kind of looks whimsical too.	16
268800	281800	The one bunny ear.	17
281800	298800	The other dancing guy with the weird trapazoid on the left.	18
