start	end	text	trial
0	29000	Uh, this is the other dancer with the weird trapazoid on the left.	1
29000	47000	Uh, mushroom house. mushroom, mushroom.	2
48000	50000	Wiener dog?	3
54000	56000	Ruff ruff!	3
65000	68000	Uh, kneeling guy, just blocks.	4
70000	72000	But, I didn't hear a blob?	4
72000	74000	Yeah, just like a blob.	4
74000	76000	Yeah, Blob Guy.	4
84000	86000	The one bunny ear.	5
90000	92000	The one? Yeah, just the one.	5
92000	94000	Uh, the cash register scanner.	6
116000	118000	The traffic light?	7
122000	124000	Uh, regular house.	8
146000	148000	Sunglasses.	9
152000	154000	The kneeling guy, to the right.	10
166000	168000	The non-blob guy.	10
168000	170000	Yeah, with bent knees.	10
180000	182000	The waiter.	11
195000	197000	The ballet dancer.	12
197000	199000	Uh-huh.	12
200000	202000	The back kick.	13
212000	214000	Ka-chaw.	13
224000	226000	The balloon dog.	14
230000	232000	The sad guy.	15
246000	250000	They wouldn't be sad if they all hung out with each other.	15
254000	256000	Uh, the two bunny ears.	16
268000	270000	Nessie.	17
280000	282000	The two dogs.	18
284000	286000	On an adventure.	18
