start	end	text	trial
1000	2000	Uh, bent knee guy.	1
2000	3000	Okay.	1
27760	49680	A tulip, surprise tulip.	2
50200	53200	Sneaky	2
58760	61760	Dog on dog. Yup.	3
72760	75760	Traffic light.	4
75760	89600	A sad bunny sitting towards the right. Ah I see it.	5
105760	111680	A guy like kicking to the right like a leg extended. kind of like he's like	6
111680	116680	break dancing? yeah breakdancing guy. Ok.	6
126120	132040	it's like the kneeling bent knee bowl guy, but then has an extra thing sticking	7
132040	145800	out the left. like he's facing the right and has like a weird triangle thing on his butt.	7
146600	151360	he's holding a bowl, a big bowl.	7
162360	171760	it's like a guy holding a bowl but then to the left and on the right he's just	8
171760	174760	a triangle	8
174760	177760	okay	8
181760	184760	like a judge actually	8
187760	191760	guy doing a weird spooky dance with those like legs up high yeah	9
191760	194760	yeah	9
194760	197760	sunglasses	10
219760	222760	kneeling blob guy	11
224760	235760	a cool guy with a backpack	12
236760	239760	yep	12
249760	255760	our second dancer guy. the trapezoid on his head.	13
266760	269760	wiener dog	14
269760	284760	monopoly guy	15
285760	288760	who's like running	15
301760	304760	one ear bunny. one ear? yeah.	16
314760	319760	a guy on a boat	17
321760	324760	origami boat	17
334760	337760	a gourd	18
337760	340760	fruit	18
344760	357760	like a guy dancing also with his arm stretched out but he's kind of kneeling and	19
357760	360760	he's facing the right. oh yeah I see it.	19
375760	378760	waiter guy	20
391760	394760	nessie	21
404760	407760	cash scanner thing	22
421760	424760	dumpling	23
435760	438760	mushroom house	24
438760	455760	it's like the Jesus with his arms up guy	25
467760	470760	back kick guy	26
470760	492760	it looks like a water fountain to me it's like the diamond at the top and	27
493760	496760	a rectangle on the right	27
507760	510760	two ears bunny	28
522760	530760	it's like a sad kid or sad dog riding a dog. Oh I see it.	29
530760	552760	sad boy.	30
552760	561760	balloon dog.	31
561760	580760	another water fountain but it's like just a rectangle on the left and then	32
580760	583760	asymmetrical on the right	32
592760	595760	ballet dancer	33
609760	612760	regular house	34
622760	629760	a pooping swan. yeah.	35
641760	644760	the weird wrench thing. I see it, yup.	36
