start	end	text
0	28000	Okay, oh, okay, yeah.
28000	44000	So, this one is, it looks like a dude riding a, like an animal, and the animal, the animal is facing to the left, and the person's head is a square.
44000	50000	And the tail of the animal...
50000	57000	Yay.
57000	78000	Okay, this one looks kind of like a bunny rabbit, like two triangles on the top of its head, and it's like the bunny rabbit is like, the bunny rabbit's body is a triangle.
78000	95000	Okay, this one looks like, like a priest who has his hands out pointed to the left, his head is a square.
95000	119000	Okay, this one is like a bulkier priest, and his, his like a little stubby arm pointing to the right, and it's a triangle, and his head is a square, and the foot...
119000	138000	Okay, this one looks like, looks like an animal, his head is a parallelogram, and it's like pointing to the left, and has two, like, legs.
138000	148000	Okay, this one, this one looks like an upside down Y, and the top is a square.
148000	159000	The bottom...
159000	175000	Okay, this one looks like, just like an oval blob with a square on top, and like a tiny thing jutting out on the bottom right side.
175000	180000	Like, looks like a, like a...
180000	195000	Like, like the thick priest, but like, there's a little triangle.
195000	210000	Okay, this one has a triangle for the base, but then at the, at the bottom right corner of the triangle is another upside down triangle, and the top is a square.
210000	227000	And on the left and right side, there's like two more shapes jutting out.
227000	245000	Okay, this one looks like a scuba diver, and the little flipper leg, the flipper feet are two triangles at the bottom.
245000	270000	Okay, this one is like, it's very simple, it's just a parallelogram, and then there's like a line coming down on the left side.
270000	286000	Okay, this one looks like, if you think of like a monk with like their robes, they're like, he's like standing, and he's facing to the left, and he's lifting one of his legs up.
286000	303000	His head is a square, the feet are little triangles.
303000	314000	Another way to think of it is, oh nice.
314000	335000	Okay, this one is just kind of like a line of shapes going from the top left to the bottom right. It starts with like a triangle, then a trapezoid, then a parallelogram, and then a triangle.
335000	359000	This one reminds me of someone doing a handstand, like there's a square on the bottom that I think is the head, and then the top is just a small triangle, and then there's a big triangle at the bottom, at the very bottom.
359000	371000	The square is kind of like a quarter of the way up from the bottom of the picture.
371000	382000	The top is like a tiny triangle.
382000	391000	This one reminds me of someone praying. The bottom is a parallelogram, and they're kneeling towards the right.
391000	402000	The bottom is a parallelogram.
402000	420000	It's like a scorpion. It has like a square, and then two triangle arms and a tail going down to the right.
420000	446000	The bottom right, like the tail part, is a parallelogram, and there's a triangle at the top that has like two triangles next to it, kind of making three points, kind of like a crown.
446000	465000	This is someone sitting down. Their feet are pointed towards the left, and their head is tilted down a little bit.
465000	489000	Okay, this one is a rectangle slanted, pointing from the top left to the bottom right, and then there's like shapes attached to it, so there's a triangle on like the bottom side.
489000	506000	This one is a house, and there's a rectangle on the right side sticking up.
506000	531000	This one has a square on the top, and then like two triangles pointed out from the sides, but the triangle on the right is like detached from the main body, and then the bottom is like a bunch of shapes.
531000	551000	Okay, this one looks like the animal from before, but its head is a triangle, and its front legs are bigger than the back legs, and it has a parallelogram tail.
551000	569000	This one reminds me of an ostrich. Its head is pointed to the right, and it has two triangle feet at the bottom. It looks like a swan or something.
569000	596000	This one reminds me of a person dancing, kind of. There's a rectangle at the base, kind of going up and down, and then there's a triangle on the right, and then on the left side of the rectangle is a square and two more triangles, like the person's arms. They're doing like a thingy.
596000	619000	This one is a symmetrical object square on the top, looks like a spaceship on the bottom.
619000	639000	Okay, this one also symmetrical. This one is two diamonds on top of each other with a square on top.
639000	653000	Okay, this one is like the person praying.
653000	681000	Okay, this one is a little complicated. There's a square on the top, and then at the bottom, there's a parallelogram on the right, and then kind of like a hook shape on the left, made by like a triangle and a rectangle.
681000	696000	It reminds me of like a can opener at the bottom.
696000	710000	Okay, this is a house, but the rectangle is on the left side and there's an arrow at the top.
710000	724000	Okay, this one is there's a square at the top, and then towards the right side, and then a triangle on the left side upside down.
724000	739000	And then there's like a big rectangle type thing slanted from the top right to the bottom left.
739000	757000	This one reminds me of a pillar or some kind of tower. There's a rectangular base with like a triangle thing.
757000	780000	This one is like a person with their arms up. There's a triangle on the top, and then the main body is a big parallelogram, and they have their hands with their arms up.
780000	806000	Okay, this one looks like another person riding an animal. The animal is facing the left. The person has a square head. The animal has a triangle head and a triangle tail.
806000	824000	Okay, this one has a square at the top, and then also a triangle at the top on the right side, which is kind of detached. And then on towards the middle on the right side, there's another detached triangle.
824000	828000	And the bottom left is a parallelogram.
828000	837000	It's kind of a weird shape.
837000	856000	Okay, this one reminds me of a totem pole. It's just a pole and then two triangles stuck on the side, or two trapezoids stuck on the side.
856000	883000	This one is someone diving down into water. The top is two triangles, and then the bottom is like a square head and two arm-like things.
883000	901000	Okay, this is rectangle at the bottom, and then skinny rectangle going up on the left with a triangle on top.
901000	921000	This one is just a symmetrical upside down trapezoid with two parallelograms on either side, kind of pointing inwards.
