start	end	text
0	4000	Sounds good.
20000	22000	Okay.
22000	26000	Um, am I allowed to start?
26000	28000	Okay.
28000	34000	So this one, it has a rhombus head.
34000	42000	Um, it kind of looks like there's a foot extending to the right and a triangular base.
42000	48000	And then there's a trapezoidal figure kind of jutting off to the left side.
48000	50000	Um.
51000	57000	Is there a white space that's a trapezoid on the left side?
57000	62000	Like the middle of the figure left side is like a large trapezoid.
62000	64000	No.
64000	67000	I'm gonna describe the black space.
67000	72000	So the head part is a rhombus.
72000	79000	And then right beneath that it's kind of triangular connected to a rectangle.
79000	84000	And then jutting off to the left is a trapezoid.
84000	93000	And then it's on a triangular base with a small triangle extending off to the bottom right.
93000	96000	Okay. I think I know which one it is.
96000	102000	Is the white space in the middle of the figure on the right side, uh, and it's a trapezoid?
102000	103000	Yes.
103000	105000	Okay. I'm gonna select.
105000	107000	Okay.
109000	134000	So this one, describing the black space again, there's like kind of a central pole with what looks like two triangles extending on both the right and the left side.
134000	137000	Is the right triangle slightly higher than the left triangle?
137000	138000	Yes.
138000	141000	Okay. I think I know which one it is. I'm gonna select.
141000	154000	Okay.
155000	165000	Okay. So this one, again, there's a rhombus head and then the body part, it looks like a scoop.
165000	180000	The left side looks like a square and the right side kind of has like a jagged shape, some triangular cutouts.
180000	182000	Uh, I'm not sure about this one.
182000	183000	Can you keep describing?
183000	199000	Yes. Okay. So rhombus head and then directly below that, there's like a flat line, um, with the right side of the flat line kind of in a point and the left side is just square.
199000	215000	And then the whole left side of the body part is still just square, but the right side kind of has, if you're looking at the right, at the white space, it's kind of like a trapezoidal cutout a little bit, like the upper right part of a trapezoid.
215000	222000	And then there's also a triangular cutout on the right bottom part.
222000	224000	What?
224000	226000	Oh, okay. I think I know.
226000	227000	So it's like...
227000	229000	Yeah, I think I got it. It's...
229000	242000	So describing the bottom block, it's a large black rectangle. Starting from the bottom, it's a triangular cutout with the tip facing left and then it like extends outward to the right as you go up.
242000	243000	Yes.
243000	246000	Culminating in like a point on the upper right.
246000	248000	Yeah. Selected.
248000	249000	Yeah.
257000	260000	Okay.
260000	265000	This one, we're going to start from the left side.
265000	270000	So on the top left, there's a triangle.
270000	276000	And then directly below that, it's like connected to another triangle.
276000	284000	And then moving to the right, there's kind of this rectangular connection.
284000	292000	Is there like a square or a square turned 45 degrees to the left in the top middle?
292000	293000	Yes.
293000	295000	It's like a little bit connected to a triangle, but there's some white space?
295000	300000	Yes, exactly. And then there's a triangle on the...
300000	303000	Sorry, on the far right, there's a triangle connected only by the point.
303000	305000	Correct.
305000	307000	Okay, selecting.
315000	321000	Okay, this one, a rhombus head.
321000	330000	And it kind of looks like if a person were standing on one leg and extending a leg behind them, they're facing the left.
330000	333000	And the left side is like two triangles stacked on top of one another?
333000	334000	Yes.
334000	336000	Okay, selecting.
345000	353000	Okay, this one, it kind of looks like a horse facing left with triangular feet.
353000	359000	The far right is like a parallelogram with a point facing up and right?
359000	361000	Yes.
361000	364000	Selecting.
374000	381000	Okay, this one, it has a right triangular base.
381000	385000	And then there's kind of a square at the top of the point of the triangle.
385000	388000	And then what looks like kind of bunny ears coming off of that.
388000	392000	Okay, got it. It's a bunny leaning against a wall facing right, yeah?
392000	394000	Yeah.
404000	408000	Okay, this just looks like a rectangular...
408000	410000	Okay, so there's... Sorry.
410000	413000	There's a rhombus on the top.
413000	421000	And then directly below that there's kind of just this big black bar with triangular points on either end.
421000	423000	Yeah, I got it.
