start	end	text    	trial
5000	10000	Scorpion.		1
25000	51120	Dancer with the can opener.		2
51120	66720	Horse neighing.		3
66720	80000	Blob with triangle to the right.		4
80000	90000	Priest.		5
90000	100000	Riding a horse.		6
100000	110000	Ice skating.		7
111120	136120	Toilet.		8
136120	150920	Detached right arm and attached left arm.		9
150920	166120	Music note.		10
166120	181120	Handstand.		11
181120	195120	Chunky man.		12
190000	200000	Splits.		13
209120	222120	Upside down trapezoid parallelograms.		14
222120	236120	Weird shapes in a line.		15
236120	251120	Spaceship.		16
251120	253000	House.		17
253120	276120	Scuba diver.		18
