start	end	text    	trial
0	23000	Okay, it's a dancer, with a can opener, like... 	1
23000	51000	It's the person blob with the triangle, one triangle facing to the right.   	2
52000	54000	It's a spaceship. Satisfying.  	3
68000	73000	Right arm detached and left arm attached.   	4
82000	86000	Riding horse.   	5
97000	103000	A big rectangle, a little rectangle and a little triangle to the left.  	6
106000	108000	Music note. 	7
112000	116000	Scuba diver.    	8
128000	130000	Ice skater. 	9
142000	146000	Neighing, horse neighing.   	10
158000	162000	Splits, upside down Y.   	11
172000	174000	Handstand.  	12
186000	190000	House, a rectangle on the right.    	13
190000	206000	A weird shape, triangle on the top, triangle on the bottom right as well.   	14
206000	210000	Top left and bottom right.  	14
210000	212000	Weird shapes throughout.    	14
212000	217000	Trapezoid and the trapezoid, yeah.  	14
220000	232000	Okay, the chunky dude with the two triangles facing to the right.   	15
241000	245000	Priest, holding hands out.  	15
250000	261000	Then trapezoid upside down with parallelogram facing forward.   	16
269000	275000	Bathroom, toilet, with the... yeah. 	17
281000	285000	Scorpion.   	18
