start	end	text 	trial
28000	32720	okay, so it's like a horse like kneeling back, parallelogram on the right, um, bottom left corner.	1
38040	43440	The square is like in the middle, up, and then there's like two triangles separated that are like kneeling back. It's like a like a horse neighing raising its two hooves up in the air.	1
54640	61800	It's like two separate triangles, or one in the right upper right corner one in the lower right corner as well.	1
65080	69000	Trapazoid with a parallelogram for the body with like a rectangle going up. Oh no. 	1
79760	84920	Okay, it's like a toilet with like a square on the top, a diamond on the top	2
87640	89640	Like the seat is pointed to the left	2
90080	94080	And there's a little triangle like mini triangle sticking out from the right side	2
94600	98600	The base has like a rectangle with two triangles one small 	2
105800	109200	This is someone trying to do the splits, upside down Y	3
122800	134080	This one's the, look like a music note. Square on the bottom. Like a big rectangle on the bottom and then a like pole going up with the triangle on the very top	4
143200	146600	House with a rectangle on the right, long rectangle on the right.	5
157960	165080	Person with its arms out for triangles with the one on the right is dettached but one on the left is still attached.	6
167880	174160	Square head like two triangles sticking up in the sides one is dettached, the one on the right is dettached, the one on left is still attached.	6
185800	189360	Okay, this one is like a    	7
190160	193440	Like a blob of person. It's a blob with a head  	7
195840	198120	Square head, but like the body's just a one blob    	7
199200	200840	like one    	7
200840	202240	ovular blob 	7
202240	204240	but like not like   	7
205440	209240	Frick a triangle on the very right bottom.  	7
219680	221680	This one is, it's like the blob like we saw just now except now there's a triangle on the very top and the bottom.  	8
241320	245920	Horse riding, riding a horse or riding an animal 	9
256280	258280	Spaceship   	10
258880	260880	Triangle on the right   	10
260880	265400	And the last and then the triangle going up connected to a diamond at the very top 	10
266240	269240	Very symmetrical, very pleasing to look at  	10
280120	284680	Handstand, the two feet are like very small triangles at the very top  	11
285640	289240	Someone on like one hand, one parallelogram as a hand    	11
298760	301680	Scuba diver two tiny little triangle feet   	12
314800	317560	Scorpion, the three triangle at the very top of the parallelogram 	13
331080	338760	Someone like the priest praying, like not praying, the one that's like the extending of hands out to like give like yeah  	14
349880	351880	Ice skater, um foot is up and pointed to the left, one foot is up in the air,   	15
358760	362480	They're like two arms or triangle pointed toward the left. Yeah.    	15
373000	377880	Okay, this one is the trapezoid in the bottom and then parallelogram stuck towards the middle   	16
389640	391640	This one's a really weird shape    	17
391760	396320	Triangle at the top, triangle at the top left corner, triangle at the bottom right corner   	17
397120	400160	then in the middle they're like 	17
401520	406120	trapezoid on the top, parallelogram on the bottom right 	17
407880	414080	parallelogram with a triangle top left, trapezoid with a triangle,  	17
415760	421440	Go from top left to bottom right like a string of   	17
423960	430960	Stinky little patterns. There's nothing in top right or bottom left.    	17
441440	444200	Okay, and then this dancer with a   	18
444920	446760	like with a 	18
446760	448880	Triangle two triangles for feet 	18
449560	456160	One triangle is facing to the right, one triangle facing down, and then there's another triangle on the top 	18
456160	458640	That's like facing to the right with a trapezoid	18
