start	end	text	trial
26360	28760	Person with the leg pointed down	1
31960	39100	Facing to the right a diamond head so one leg the right leg straightened and the left leg bent	1
40680	44560	It's like there could be dancing and they're kind of leaning	1
45480	51280	To the left they're kind of leaning they got what the right leg is straightened and the left leg is bent	1
51800	56080	Okay, and they have an arm sticking out to the right. It's just a triangle	1
56080	69540	Person holding a block with a little triangular head	2
84160	90120	Dog looking up to the right you're jumping up to the right upside down triangle for a tail	3
90560	92560	Okay	3
104720	107800	Person on a horse looking down looking sad	4
120480	127960	The flower on top we have two parallelograms	5
139520	142280	Looks like a toilet with a diamond on top of it	6
150720	156040	Little triangle on a part of a triangle sticking out on the right side	6
167000	169000	Dog with missing front legs	7
180960	186040	A C point to the right missing the bottom part	8
201600	206520	Woman with three part three sections and the little upside down triangle for a foot	9
217880	224280	Riding a horse looking up. not the sad one, the tail	10
235520	237520	It looks like it could it's like a	11
238240	246400	mountain peak and then on the top left there's a block attached to two triangles	11
247800	250480	So it's kind of come together at almost a point	11
251960	253960	But it looks like a slope with a little	11
264520	267960	Symmetric with two arms sticking out on either side parallelograms	12
267960	283880	House next to arrow. big arrow.	13
295000	297440	Water fountain with diamond on top of it.	14
312560	316440	Sitting down slouching. looking, facing to the left.	15
332920	339400	A person standing with them if they're giving something or print or like are facing to the left.	16
341880	345800	Is to the left with their arms outstretched like they're giving something to someone else	16
345800	360480	Standing on one leg two triangles on the left side one little triangle on the right side	17
360480	362480	A	18
370400	376000	Simple bird with a square rectangle neck and triangle head	18
387840	393840	Oh, okay first figure is new	19
396360	399640	It has a diamond head, but the head is tilted back.	19
400400	408440	Tilted back to the right. it has one foot on the ground, one triangle foot on the ground, one triangle foot in the air.	19
408680	415760	The triangle foot in the air. 	19
421720	427400	Okay, next figure is the person with a torso and its arms are parallel grounds outstretched	20
438960	441400	Okay, next house with long tall buildings	21
455120	457120	Okay Christmas ornament	22
468200	475300	Okay person is on a this is a new one person on a podium facing to the right	23
476400	480600	Person on a what a podium a what? It's like	23
481480	485580	Okay, there's a podium. Oh, it's like a large triangle	23
486380	493020	A large triangle. It's the tip of it's the tip of the triangle opposite from the hypotenuse is to the left	23
496980	498980	Both it makes sense, okay	23
506420	519420	The next is a person on a boat and the boat is a six-sided shape	24
531100	536020	Okay person on a rock and they have two triangles.	25
537380	542500	A person on my what? a person on like, a small person on a rock.	25
554620	563500	Okay, this person has okay, it looks like their foot is balancing the diamond and they have two triangles as a head	26
577540	585220	Okay, it looks like a horse facing to the left and its tail is a parallelogram upwards.	27
585220	602300	This looks kind of like a swan and facing to the right and it has a tiny triangle.	28
602300	617680	This person looks like they are praying but they are what's it called squatting to the right	29
632540	635560	This looks like a like an old telephone	30
636300	644300	But an old what an old telephone like on yeah on a slant toward the right. Oh	30
658260	660260	Okay, this person is	31
661260	670140	Facing left it has like a tail parallelogram tail facing the right and it's kind of sitting	31
671700	674020	It's toe is pointed left	31
675500	680860	It has a small triangle. Oh, yeah, wait, okay, so it's legs are okay	31
682140	688420	It is sitting so the leg is kind of diagonal to the bottom left corner bottom left corner	31
691260	693260	Um	31
693980	700380	Okay, so it's diamond head underneath that is a triangle	31
701820	705420	And then underneath that is like a thin	31
705980	708580	thin rectangle and then to	31
709140	714180	To like legs coming front like in a diagonal. Oh, yeah. Oh	31
720260	727380	Okay, next one is the horse rearing to the right	32
742780	748140	Okay, this this person it's body is a blob and it has a diamond head	33
760260	763340	Okay, this one is the bamboo stick with two	34
764660	768500	Triangles in it. So what? Oh, oh, yeah	34
778220	784500	Okay, this is the guy with the top hat and the backpack and two small triangle	35
785180	787180	This	35
795700	805900	One looks like a dog facing to the left and it has it's it's front legs is a parallelogram and it's back leg is a triangle	36
814500	816500	Oh	36
