start	end	text	trial
0	21960	Okay, so the first figure is a person balancing on one leg, and it has a foot.	1
21960	51080	Okay, the second figure is a person with a small triangle head, and it's holding a diamond.	2
51080	57440	The next figure is a person leaning toward the left, with two arms outstretched, and	3
57440	69840	arms are parallel aground.	3
69840	85840	The next figure is a dog with a foot-like missing.	4
85840	93840	The next figure is the third with a rectangular body, long neck, and triangle head.	5
93840	121840	The next figure is a house with a long tall building with a foot.	6
121840	131840	okay, the next figure is a Christmas ornament with two squares on top of each other.	7
131840	147840	Okay, the next one is the C with a thick parallelogram at the top.	8
147840	171840	The next figure is the man with the top hat, the backpack, and two tiny triangle feet.	9
171840	186840	The next figure is a person with a rock with arms outstretched.	10
186840	197840	Okay, the next figure is the water fountain with a diamond on it.	11
197840	210840	Sorry. It's okay.	11
210840	218840	The next one is the dog leaping to the right, it has a triangle tail, an upside-down triangle	12
218840	228840	tail.	12
228840	243840	The next one is the flower with a parallelogram at the bottom right.	13
243840	268840	The next one is the woman sitting facing the right, and her foot is a small upside-down triangle.	14
268840	283840	This one is symmetrical with two parallelograms facing each other.	15
283840	297840	This one is like a stick with two triangles embedded into it.	16
297840	313840	Yep, and this one is a guy sitting down, slouching, his knee is up, and his gas.	17
313840	323840	This figure is like the horse rearing up to the right, its head tilted back.	18
