start	end	text	trial
0	16200	I don't know okay dog without front legs	1
16200	24000	front legs not yeah yeah	1
24000	29000	house with silo on the right sticking up. the barn or	2
39040	43080	house looking one.	2
54760	65480	it looks like the one	3
65480	73000	with the horses rearing up almost like vertically to the right	3
73000	76600	parallelogram base	3
85040	93720	person with outstretched arms looking up. slanted to the left.	4
103000	115520	standing on one leg two triangles on the left and one little triangle on the right.	5
115520	136240	the stick with the two things again on either side stick. the stick with the base of	6
136240	156280	two triangles on either side of it, like the bamboo yeah...	6
156280	165480	the person sitting looking up and to the left with arms stretch to the left. a little triangle on the bottom left. and a	7
165480	174080	larger triangle on the center right coming off. so the top there's the top	7
174080	178640	there's kind of like three things coming off at a point is like the diamond the	7
178640	184280	bigger triangle that's connected to the base and then another little triangle off off to	7
184280	187280	the right okay	7
195480	206520	man sitting person sitting down looking to the left with the knees bent	8
206520	226000	water fountain with diamonds on top. the what with the diamond? the water	9
226000	229000	fountain. okay.	9
236920	244040	looks like a dog jumping up to the right with an upside down triangle for a	10
244040	253160	tail and a diamond for the head. a dog jumping to the right? 	10
253160	257840	like kind of like jumping are looking up to the right.	10
257840	263780	upside down triangle for a tail and a diamond coming off at a point for the	10
263780	273440	head. is the tail a parallelogram? no the tail is an upside down	10
273440	281920	little triangle. it's looking it looks like it's looking up and it's kind	10
281920	289360	of like it's legs are like jumping up to the right. sorry I see it yeah.	10
298640	305720	it's the one with the claw or flower part on top connected to a thin parallelogram	11
305720	309160	and then another little parallelogram	11
320360	326080	a person with the three middle the three middle sections the diamond head and	12
326080	331760	the little triangle on the bottom right. the little triangle pointed down on the	12
331760	339160	bottom right is like the most distinct part. okay. different from anything else.	12
347440	355440	the big C looking shape pointing to the right the parallelogram for the top or	13
355440	358880	it's like it's kind of like it's missing the bottom part.	13
361280	364280	it's like a ????	13
365720	371040	ornament the two squares	14
371040	385880	a person with a top hat and a two little triangular feet that are crossed at a	15
385880	390920	point and the arm to the right	15
390920	407760	a person holding a diamond block with a triangle a little head that comes off at	16
407760	410040	a point	16
421200	427480	square with the long neck on the... rectangular neck sticking out on the left	17
427480	432800	up. so it's just square on the bottom rectangular part sticking out on the	17
432800	438880	left kind of looks like a swan or reminds me of a very simple bird	17
438880	443720	like a duck or something it's just...	17
445720	449640	I guess it kind of looks more like a building I don't know...	17
451960	459440	the symmetric one with the two arms sticking out on the left and right	18
