start	end	text	trial
0	29920	the person kneeling with two triangles on the right,	1
29920	46560	the candlestick with stuff on the left,	2
46560	61080	the person holding a bowl,	3
61080	75720	person taking a step to the right,	4
91960	108760	the bunny rabbit,	5
109720	124600	the girl with the ponytail,	6
124680	139240	the person shrugging,	7
140200	151880	the scale that's tilted to the right,	8
151880	172520	the wider candlestick with a straight left side,	9
173320	187160	the person stepping to the left,	10
187160	207800	hexagon with the base that's symmetric,	11
208440	220440	upside down pine tree,	12
220440	241080	the person riding a bull,	13
241080	250440	scuba diver,	14
250440	271080	the person kicking something to the left,	15
271400	285720	symmetric crab,	16
285720	300360	the tulip,	17
300360	321000	the tilted swan,	18
