start	end	text	trial
0	7000	Okay, cool.
7000	12000	Pineapple.
12000	19000	Hold on.
19000	20000	The pineapple.
20000	21000	Yeah, no, I just misplaced my...
21000	22000	Oh.
22000	23000	Okay, wait, wait.
23000	24000	I found it.
25000	32000	The dog with the large fractal legs.
33000	36000	Okay, hold on.
36000	52000	The dog with the large fractal legs.
52000	73000	The yoga pose.
73000	87000	The one with the three spikes at the top.
87000	90000	Like the Batman one?
90000	92000	There's like three spikes at the top.
92000	96000	It looks like the tulip Batman one, I guess.
96000	99000	And it has like a tail or something to the right side?
99000	100000	Yeah.
100000	111000	Okay.
111000	127000	The submarine.
127000	145000	The man on the floor with the legs extended to the left.
145000	165000	The one that you struggle with.
165000	171000	The woman kneeling almost with the knees extended to the right.
171000	173000	And her arms to the right as well.
173000	175000	The diamond head.
175000	189000	Right.
189000	192000	The figure with the diamond head.
192000	195000	There's a right, there's a leg extended to the right.
195000	199000	And there's a curved leg on the left.
199000	204000	And the body is a straight line on the left at the top.
204000	217000	Okay.
217000	235000	The rabbit.
235000	253000	The dog with no tail and long body.
253000	273000	The diamond head with the straight line back on the left.
273000	289000	The cactus.
289000	309000	The house with the chimney on the right.
309000	314000	The dog with the figure on its back.
314000	316000	The dog with what?
316000	332000	The figure on its back and has a tail on the right.
332000	344000	The diamond head with two arms stretched towards the top and is leaning diagonally to the left.
344000	346000	Hold on.
346000	349000	The two arms that are open?
349000	352000	Yeah, there's two arms open.
352000	355000	Like their arms are raised to the sky.
355000	359000	And the body is diagonal and from the right to the left, is it?
359000	375000	The other leaning to the left.
375000	381000	The hexagon, half a hexagon.
381000	384000	The hexagon with something removed.
384000	387000	There's like a space at the top.
387000	391000	A triangle.
391000	403000	Yeah, you could put a triangle.
403000	419000	The banana.
419000	427000	The swan.
427000	456000	The house with the tree on the left hand side.
456000	465000	It looks like a llama with a tail on the right side.
465000	467000	Wait, what?
467000	471000	It looks like a llama and it has legs.
471000	473000	It's like facing the left hand side.
473000	479000	There's a tail on the right and it has two legs.
479000	482000	The frontal leg is facing the left.
482000	484000	Is it bigger?
484000	498000	Yeah, it's bigger.
498000	513000	The woman kneeling and praying.
513000	531000	The telephone.
531000	551000	The figure holding a square.
551000	554000	The dog with two feet in the air.
