start	end	text
0	23000	Um, this one is like a long rectangle on the top with a triangle that points to the right
23000	29000	On the left side, there's a skinny rectangle that goes downward
29000	33000	And then there's like, kind of like one of the head things at the bottom
33000	35000	Does it go like a reverse 7 in a way?
35000	37000	Yeah, yeah
TRIAL2	40000	Cool
49000	54000	Um, this looks like, I almost thought of like Baby Yoda
54000	59000	Like someone standing with their arms out in front to the left
59000	63000	And there's like a tiny butt almost
63000	66000	Um, it has one of the head things
66000	69000	Yeah, okay, I think I got it
80000	86000	Um, this is the weird like squiggly one that starts at the top left and goes to the bottom right
86000	88000	Ah, yeah, of course
93000	108000	Um, this one is the tall, long, skinny one with like the two shapes opposite each other
108000	111000	A little off around the center
111000	113000	Yeah, I like the tall
113000	114000	Cool
121000	122000	Yeah
125000	133000	This one is like a person with their one foot up towards the right
136000	139000	Ah, like the kind of like the two arms to the left one
139000	140000	Yeah
143000	155000	This was the one you said looked like a dancer
155000	159000	Um, with the two triangles to the right
159000	162000	One really high, one really low
162000	166000	And then the big rectangle towards the bottom left
166000	169000	Ah, yeah, okay, thank you
173000	183000	This is like the house with the tree next to it to the left
188000	190000	Oh, I didn't see that one, that was me
190000	191000	Oh, okay
191000	193000	That's over there, yeah
193000	205000	Um, this looks like a person with like one foot all the way up in the air
205000	206000	Um
211000	213000	Oh, I didn't mean to press the small button
213000	215000	That's okay
215000	217000	Okay, I know what you mean now
220000	221000	Okay, okay
221000	226000	Um, this looks like the prancing horse with like the two triangles
226000	232000	The one on the bottom or the bottom left is like further to the ground
232000	234000	And then there's like a tail
234000	235000	Okay
236000	237000	Cool
246000	250000	Um, this is the one with two triangles going up
250000	264000	And it has like the diamond squarish head right above like two arm things going down to the bottom left
266000	274000	Um, there's a tiny triangle pointing to the right, um, towards the top
277000	278000	Um
280000	282000	How is the other thing to like the...
282000	284000	Okay, um, let's see
286000	291000	Um, so there's one with like two small triangles at the top
291000	292000	Yes, yeah
292000	296000	And then they connect to the point of like another triangle
296000	298000	Okay, yeah, it's not one, yeah
298000	300000	Uh, yeah
301000	302000	Yeah
311000	317000	This is the one with the person like setting up against a wall with their knees bent
317000	318000	Oh, yeah
322000	323000	Okay
328000	331000	Um, it's a flat bottom
331000	336000	Um, it looks like someone's arms are out to the right
336000	341000	Um, and their knees look a little bent
342000	343000	Okay
353000	362000	Um, this has like the diamond, um, like head figure
362000	368000	And then it goes like to a triangle and then straight down
368000	374000	And then there's like a tiny triangle to the right
377000	378000	Um
379000	382000	I didn't get this one when we did it last
383000	385000	Okay, that helped
390000	391000	Yeah, that's a hard one
391000	392000	Yeah
394000	396000	Um, this is one of the more simple shapes
396000	399000	It's a big rectangle on the bottom
399000	405000	And then a long skinny one going up the left side with a triangle at the top on the left
405000	407000	Oh, got it, see
408000	409000	Okay
417000	420000	This is the one that you picked before the house
421000	424000	With the one thing on the right
424000	426000	Oh, yeah, when I messed up, okay
427000	428000	Yeah
438000	442000	This is the one that looks like a person riding a horse
442000	443000	Um
445000	448000	Yeah, I think it's the only one that looks like that
448000	450000	Yeah, I agree
450000	451000	Yeah
459000	467000	Um, this one, it looks like a simple dog facing towards the left
467000	474000	Um, the front foot is like a skinny rectangle that's slanted
474000	477000	The back foot is like a triangle
477000	479000	And they're like level with each other, right?
479000	480000	Yeah, yeah
480000	498000	Um, this is the one that I didn't get last time with the triangle all the way in the bottom right
498000	499000	Ah, yeah
502000	504000	Like a platform on the left hand side
505000	508000	Um, yes, yes
508000	509000	Cool
511000	512000	Yeah
514000	515000	Yeah
517000	518000	Yeah
520000	521000	Yeah
523000	524000	Yeah
526000	527000	Yeah
529000	530000	Yeah
532000	533000	Yeah
533000	534000	Yeah
540000	541000	Yeah
