start	end	text
0	20240	Okay, so to me it looks like someone is like a diver, there's like two triangles right
20240	26960	at the bottom, it's all centered, and then kind of like it moves the whole way up from
26960	32720	the bottom middle to the top middle, and there's like two, to me they're like kind of arms
32720	39760	coming off from the right hand side, with like a block at the top, and then like a thinner,
39760	45440	longer rectangle that goes into a triangle on the left hand side, yes on the back, yeah.
45440	51040	I think I got it. Okay, okay.
TRIAL2	62560	Okay, again I kind of see it, it's like a house on the right,
62560	65520	with like a mushroom, like a tree on the left hand side.
66480	68480	Okay,
79280	86320	ah okay, so using the same thing while I was using like the body before, this one's like
87360	90960	someone who had some of the feet in the air, so it's like two smaller triangles
91600	96080	in the middle towards the top, moving down into two thicker ones towards the bottom,
96080	101760	one touching the bottom, one a bit more in the air, with like a block around halfway up.
102400	105920	Okay, does that make sense? Okay.
106560	122640	Okay, using the same analogy, this to me looks like someone on their knees, there's like a
122640	129280	triangle small to the left hand side, and then they pick up blocks to the right of that,
129920	136560	and then towards the top there's going to have two triangles coming out, one's a piggy flap,
136560	142080	one's slightly splatted up, like the head is between the two, tilted to the one point,
142080	148320	it's between the tip of the two triangles. I don't think there's anything else I could say,
148320	156640	it's all quite central, one of the shorter ones. Okay, yeah, okay.
159280	175200	Okay, so this I'm visualising as someone kind of with their hands out, so there's the tilted
176480	181840	square at the top, and it moves down, there's like one big block that goes the whole way down,
182400	187120	the little triangle right at the bottom, like a larger part that comes out on the left,
187840	202480	with like a square, there's like a bit on top which I'd use a bit firmer, all on the left, yeah.
207280	215360	Okay, so this kind of, this to me looks like someone wearing a horse in a way, I don't know,
215360	221840	so there's like a long body that runs from the left to the right, which has like a triangle on
221840	229520	the left hand side, tilted up, and another one on the right hand side is tilted more,
229520	236080	and only just the tip touches the rest of the body, it has like two legs on either side,
236080	242960	as if it's flicking that, and then there's in the centre, commuting upwards, there's a triangle,
243600	248320	there's a square attached to that, leading kind of forwards towards the left.
248320	277280	Okay, so right at the top of this one, there is a triangle with the pointing left, it's quite
277280	285040	small, and there's a longer body which runs down to the bottom, but the tip of the triangle at the
285040	292960	top is like the leftmost point, aligned with a kind of tilted square, which is near the bottom,
293760	297920	the rest is kind of like a, I don't know how to describe that shape, it's just like a
299680	303040	longer shape that has three things protruding out to it to the left,
303120	308000	the middle one has this like cube square sitting on it.
326160	329040	Okay, this is similar to one we had before,
